station,EQCCT-EQTransformer_Average_pick_time,Kandilli_pick_time,EQCCT_score,EQTransformer_score
AKDM,19:51:48.400,19:51:48.500,0.814,0.76
AKDM,19:51:48.400,19:51:48.500,0.311,0.76
AKDM,19:51:48.400,19:51:48.735,0.253,0.76
CEYT,09:01:49.800,09:01:48.905,0.454,0.33
CEYT,09:01:49.800,09:01:48.920,0.386,0.33
CEYT,09:01:49.800,09:01:48.920,0.527,0.33
CEYT,09:01:49.800,09:01:49.655,0.684,0.33
CEYT,09:05:36.300,09:05:36.260,0.388,0.85
CEYT,09:05:36.300,09:05:36.260,0.465,0.85
CEYT,09:05:36.300,09:05:36.260,0.513,0.85
CEYT,09:10:37.200,09:10:38.045,0.146,0.54
CEYT,09:12:02.100,09:12:02.000,0.936,0.94
CEYT,09:12:02.100,09:12:02.025,0.469,0.94
CEYT,09:12:02.100,09:12:02.055,0.631,0.94
CEYT,09:12:02.100,09:12:02.065,0.599,0.94
CHOM,03:19:18.100,03:19:18.005,0.422,0.25
CHOM,03:19:18.100,03:19:18.005,0.345,0.25
CHOM,03:19:18.100,03:19:18.045,0.429,0.25
CHOM,03:19:18.100,03:19:18.045,0.635,0.25
CHOM,03:19:18.100,03:19:18.055,0.592,0.25
CHOM,03:33:56.500,03:33:57.315,0.349,0.54
CHOM,03:33:56.500,03:33:57.335,0.384,0.54
CHOM,03:33:56.500,03:33:57.335,0.601,0.54
CHOM,03:33:56.500,03:33:57.335,0.439,0.54
CHOM,03:33:56.500,03:33:57.370,0.179,0.54
CHOM,09:49:25.100,09:49:24.965,0.211,0.68
CHOM,09:49:25.100,09:49:25.155,0.179,0.68
CHOM,09:49:25.100,09:49:25.225,0.212,0.68
DARE,09:03:57.200,09:03:57.500,0.219,0.64
DARE,09:03:57.200,09:03:58.055,0.145,0.64
DARE,09:05:43.900,09:05:43.000,0.649,0.74
DARE,09:05:43.900,09:05:43.305,0.308,0.74
DARE,09:05:43.900,09:05:43.320,0.266,0.74
DARE,09:10:43.900,09:10:43.500,0.791,0.41
DARE,09:12:08.500,09:12:08.500,0.821,0.68
DARE,09:12:08.500,09:12:08.645,0.194,0.68
DARE,09:12:08.500,09:12:08.815,0.438,0.68
DARE,09:21:14.900,09:21:14.940,0.157,0.87
DARE,09:21:14.900,09:21:14.965,0.315,0.87
DARE,09:21:14.900,09:21:14.985,0.499,0.87
DARE,09:24:16.500,09:24:16.000,0.936,0.91
DARE,09:36:43.300,09:36:42.345,0.335,0.35
DARE,09:36:43.300,09:36:42.350,0.287,0.35
DARE,09:54:35.400,09:54:34.500,0.753,0.25
ERZN,09:48:57.600,09:48:57.000,0.694,0.78
ERZN,09:48:57.600,09:48:57.260,0.654,0.78
ERZN,09:48:57.600,09:48:57.260,0.663,0.78
ERZN,09:48:57.600,09:48:57.260,0.52,0.78
GULA,01:28:57.800,01:28:57.225,0.505,0.27
GULA,01:28:57.800,01:28:57.525,0.138,0.27
