station,EQCCT_pick_time,Kandilli_pick_time,EQCCT_pick_score
AKDM,19:51:48.000,19:51:48.400,0.814
AKDM,19:51:48.000,19:51:48.400,0.311
AKDM,19:51:48.470,19:51:48.400,0.253
BAKL,11:46:37.580,11:46:37.500,0.389
BAKL,11:46:37.630,11:46:37.500,0.382
BAKL,11:46:37.890,11:46:37.500,0.325
BAKL,11:46:38.010,11:46:37.500,0.282
BAKL,14:39:50.290,14:39:50.900,0.262
BAKL,14:39:50.290,14:39:50.900,0.222
BAKL,14:39:50.360,14:39:50.900,0.207
BAYT,09:49:13.010,09:49:12.900,0.54
BAYT,09:49:13.240,09:49:12.900,0.165
BAYT,09:49:13.270,09:49:12.900,0.102
CEYT,09:01:50.000,09:01:49.800,0.684
CEYT,09:03:43.490,09:03:44.200,0.171
CEYT,09:05:36.290,09:05:36.300,0.388
CEYT,09:05:36.290,09:05:36.300,0.465
CEYT,09:05:36.290,09:05:36.300,0.513
CEYT,09:10:38.080,09:10:37.200,0.146
CEYT,09:12:02.000,09:12:02.100,0.936
CEYT,09:12:02.050,09:12:02.100,0.469
CEYT,09:12:02.110,09:12:02.100,0.631
CEYT,09:12:02.130,09:12:02.100,0.599
CEYT,09:23:56.840,09:23:56.900,0.28
CEYT,09:23:56.930,09:23:56.900,0.378
CEYT,09:23:57.000,09:23:56.900,0.763
CEYT,09:34:40.450,09:34:40.200,0.174
CEYT,09:36:33.940,09:36:33.400,0.322
CEYT,09:36:33.980,09:36:33.400,0.331
CEYT,09:36:34.000,09:36:33.400,0.942
CHOM,03:19:18.190,03:19:18.100,0.422
CHOM,03:19:18.190,03:19:18.100,0.345
CHOM,03:19:18.270,03:19:18.100,0.429
CHOM,03:19:18.270,03:19:18.100,0.635
CHOM,03:19:18.290,03:19:18.100,0.592
CHOM,03:33:57.350,03:33:56.500,0.349
CHOM,03:33:57.390,03:33:56.500,0.384
CHOM,03:33:57.390,03:33:56.500,0.601
CHOM,03:33:57.390,03:33:56.500,0.439
CHOM,03:33:57.460,03:33:56.500,0.179
CHOM,09:49:24.930,09:49:25.100,0.211
CHOM,09:49:25.310,09:49:25.100,0.179
CHOM,09:49:25.450,09:49:25.100,0.212
CORM,09:32:45.980,09:32:45.400,0.32
DARE,09:03:57.000,09:03:57.200,0.219
DARE,09:03:58.110,09:03:57.200,0.145
DARE,09:05:43.000,09:05:43.900,0.649
DARE,09:05:43.610,09:05:43.900,0.308
DARE,09:05:43.640,09:05:43.900,0.266
DARE,09:10:44.000,09:10:43.900,0.791
DARE,09:10:44.090,09:10:43.900,0.242
DARE,09:10:44.090,09:10:43.900,0.294
DARE,09:12:08.000,09:12:08.500,0.821
DARE,09:12:08.290,09:12:08.500,0.194
DARE,09:12:08.630,09:12:08.500,0.438
DARE,09:12:52.750,09:12:52.700,0.189
DARE,09:12:52.830,09:12:52.700,0.282
DARE,09:12:53.000,09:12:52.700,0.497
DARE,09:21:14.880,09:21:14.900,0.157
DARE,09:21:14.930,09:21:14.900,0.315
DARE,09:21:14.970,09:21:14.900,0.499
DARE,09:24:16.000,09:24:16.500,0.936
DARE,09:34:43.000,09:34:43.900,0.106
DARE,09:36:42.300,09:36:43.300,0.287
DARE,09:54:36.350,09:54:35.400,0.343
DARE,09:57:48.130,09:57:47.300,0.394
DARE,09:58:57.980,09:58:57.900,0.15
DYBB,09:21:29.000,09:21:29.800,0.679
DYBB,09:21:29.140,09:21:29.800,0.109
DYBB,09:21:29.390,09:21:29.800,0.399
ERZN,09:48:57.010,09:48:57.600,0.694
ERZN,09:48:57.530,09:48:57.600,0.654
ERZN,09:48:57.530,09:48:57.600,0.663
ERZN,09:48:57.530,09:48:57.600,0.52
GULA,01:28:56.980,01:28:57.800,0.505
GULA,01:28:57.580,01:28:57.800,0.138
GULA,09:12:22.730,09:12:23.300,0.154
GULA,09:24:23.550,09:24:23.400,0.138
GULA,09:24:24.010,09:24:23.400,0.171
GULA,09:24:24.010,09:24:23.400,0.684
GULA,09:31:14.870,09:31:15.200,0.251
GULA,09:31:14.870,09:31:15.200,0.216
GULA,09:31:14.930,09:31:15.200,0.456
GULA,09:31:16.070,09:31:15.200,0.237
GULA,09:32:32.660,09:32:31.700,0.539
GULA,09:32:32.680,09:32:31.700,0.5
GULA,09:36:56.000,09:36:56.200,0.57
GULA,13:45:33.000,13:45:33.400,0.372
GULA,13:59:23.710,13:59:23.600,0.673
GULA,13:59:23.730,13:59:23.600,0.345
GULA,14:00:36.650,14:00:36.400,0.239
GULA,14:28:23.460,14:28:24.300,0.295
GULA,14:28:23.640,14:28:24.300,0.232
GULA,14:30:29.940,14:30:30.200,0.438
GULA,14:30:30.000,14:30:30.200,0.792
GULA,14:30:30.760,14:30:30.200,0.43
GULA,14:30:30.800,14:30:30.200,0.556
GULA,16:27:12.000,16:27:12.700,0.169
GULA,16:44:01.580,16:44:01.100,0.293
GULA,16:44:01.730,16:44:01.100,0.148
GULA,16:44:02.010,16:44:01.100,0.428
KAMT,09:31:24.000,09:31:24.200,0.807
KAMT,09:31:24.290,09:31:24.200,0.277
