station,EQTransformer_pick_time,EQCCT_pick_time,EQTransformer_pick_score,EQCCT_score
ADVT,02:19:19.000,02:19:18.810,0.53,0.281
ADVT,02:19:19.000,02:19:18.810,0.53,0.485
ADVT,02:19:19.000,02:19:18.840,0.53,0.34
ADVT,02:41:09.560,02:41:10.110,0.52,0.165
ADVT,02:41:09.560,02:41:10.130,0.52,0.254
ADVT,04:21:53.980,04:21:53.980,0.3,0.22
ADVT,04:25:02.000,04:25:02.790,0.28,0.205
ADVT,04:25:02.000,04:25:02.840,0.28,0.229
ADVT,04:25:02.000,04:25:02.880,0.28,0.208
ADVT,04:25:02.000,04:25:02.990,0.28,0.453
AFSR,01:37:21.450,01:37:22.000,0.24,0.264
AFSR,11:06:16.290,11:06:16.980,0.24,0.202
AFSR,11:06:32.000,11:06:32.010,0.36,0.274
AFSR,11:40:41.000,11:40:40.000,0.42,0.141
AFSR,11:52:58.570,11:52:58.660,0.36,0.18
AFSR,13:39:55.000,13:39:54.000,0.93,0.158
AGRB,09:09:22.610,09:09:22.660,0.72,0.73
AGRB,09:09:22.610,09:09:22.660,0.72,0.781
AGRB,09:09:22.610,09:09:22.660,0.72,0.736
AGRB,09:09:22.610,09:09:22.670,0.72,0.739
AGRB,19:03:15.000,19:03:15.440,0.89,0.612
AGRB,19:03:15.000,19:03:15.450,0.89,0.63
AGRB,19:03:15.000,19:03:15.450,0.89,0.625
AGRB,19:03:15.000,19:03:15.620,0.89,0.134
AKDM,09:21:31.000,09:21:31.000,0.95,0.931
AKDM,09:21:31.000,09:21:31.090,0.95,0.5
AKDM,09:21:31.000,09:21:31.130,0.95,0.634
AKDM,09:21:31.000,09:21:31.150,0.95,0.623
AKDM,09:21:31.000,09:21:31.190,0.95,0.635
AKDM,09:34:05.000,09:34:06.000,0.37,0.495
AKDM,09:37:43.000,09:37:43.130,0.83,0.172
AKDM,09:49:31.000,09:49:30.010,0.39,0.444
AKDM,09:52:56.010,09:52:56.000,0.22,0.314
AKDM,19:16:50.000,19:16:49.860,0.66,0.612
AKDM,19:16:50.000,19:16:49.860,0.66,0.631
AKDM,19:16:50.000,19:16:49.870,0.66,0.564
AKDM,19:16:50.000,19:16:49.930,0.66,0.189
AKDM,19:41:15.990,19:41:15.980,0.74,0.123
AKDM,19:41:15.990,19:41:16.000,0.74,0.913
AKDM,19:41:15.990,19:41:16.010,0.74,0.194
AKDM,19:47:29.000,19:47:28.980,0.86,0.486
AKDM,19:51:49.000,19:51:48.000,0.76,0.814
AKDM,19:51:49.000,19:51:48.000,0.76,0.311
AKDM,19:51:49.000,19:51:48.470,0.76,0.253
APMY,01:04:02.280,01:04:02.250,0.83,0.19
APMY,01:29:41.000,01:29:42.000,0.44,0.194
APMY,01:37:39.000,01:37:40.000,0.28,0.554
APMY,01:52:51.560,01:52:52.000,0.69,0.838
APMY,01:56:04.730,01:56:05.010,0.56,0.773
APMY,01:56:04.730,01:56:05.050,0.56,0.559
APMY,01:56:04.730,01:56:05.050,0.56,0.356
APMY,01:56:04.730,01:56:05.050,0.56,0.322
APMY,19:05:32.560,19:05:32.380,0.64,0.13
APMY,19:22:48.990,19:22:48.530,0.67,0.31
APMY,19:22:48.990,19:22:48.530,0.67,0.376
APMY,19:28:40.000,19:28:41.000,0.52,0.457
APMY,19:29:04.000,19:29:03.730,0.92,0.528
APMY,19:29:04.000,19:29:04.000,0.92,0.733
APMY,19:34:43.000,19:34:43.000,0.94,0.776
APMY,19:34:43.000,19:34:43.060,0.94,0.806
APMY,19:34:43.000,19:34:43.060,0.94,0.78
APMY,19:34:43.000,19:34:43.070,0.94,0.641
APMY,19:34:43.000,19:34:43.070,0.94,0.781
APMY,19:45:56.720,19:45:56.660,0.75,0.171
APMY,19:46:45.170,19:46:45.130,0.65,0.722
APMY,19:46:45.170,19:46:45.150,0.65,0.704
APMY,19:46:45.170,19:46:45.160,0.65,0.574
ARMT,02:12:44.370,02:12:44.500,0.4,0.264
ARMT,02:25:40.360,02:25:40.480,0.46,0.18
AYDB,09:04:30.000,09:04:30.110,0.89,0.252
AYDB,09:04:30.000,09:04:30.130,0.89,0.631
AYDB,09:04:30.000,09:04:30.130,0.89,0.711
AYDB,09:04:30.000,09:04:30.130,0.89,0.475
