station,EQTransformer_pick_time,Kandilli_pick_time,EQTransformer_pick_score
ADVT,08:25:14.000,08:25:13.900,0.8
ADVT,18:26:46.000,18:26:46.400,0.58
ADVT,18:31:18.000,18:31:17.900,0.93
AFSR,10:36:59.690,10:37:00.600,0.22
AFSR,10:52:35.010,10:52:35.900,0.24
AFSR,14:45:17.330,14:45:17.400,0.81
AGRB,05:12:52.840,05:12:52.700,0.79
AKDM,00:16:05.720,00:16:05.600,0.51
AKDM,01:18:48.990,01:18:48.100,0.17
AKDM,01:48:17.000,01:48:17.400,0.82
AKDM,05:12:58.000,05:12:57.400,0.61
AKDM,19:51:49.000,19:51:48.400,0.76
AKDM,23:55:31.000,23:55:30.300,0.93
APMY,14:39:44.670,14:39:44.800,0.79
APMY,17:58:04.000,17:58:04.300,0.94
APMY,21:46:08.000,21:46:07.600,0.55
AYDB,04:54:53.000,04:54:53.900,0.77
AYDB,11:46:41.240,11:46:41.300,0.14
AYDB,21:46:18.000,21:46:17.600,0.35
BAYT,05:02:40.010,05:02:40.600,0.85
BAYT,12:03:17.390,12:03:16.500,0.28
BGKT,08:32:29.000,08:32:29.500,0.25
BLVD,05:29:01.000,05:29:01.300,0.94
BLVD,10:26:05.000,10:26:04.600,0.43
BNGB,01:18:28.350,01:18:27.700,0.53
BNGB,02:52:24.210,02:52:23.600,0.61
BNGB,03:05:19.000,03:05:18.400,0.69
BNGB,03:22:13.640,03:22:13.900,0.52
BNGB,03:33:44.180,03:33:44.500,0.28
BNGB,05:33:48.000,05:33:47.000,0.27
BNGB,05:56:25.000,05:56:25.100,0.68
BNGB,07:50:57.730,07:50:57.600,0.62
BNGB,14:45:22.750,14:45:22.800,0.64
BNGB,17:17:58.750,17:17:58.900,0.26
BNGB,21:50:25.000,21:50:24.300,0.92
CANT,10:25:49.000,10:25:48.300,0.89
CANT,10:52:37.000,10:52:37.600,0.92
CANT,20:38:58.990,20:38:59.600,0.72
CANT,20:44:57.000,20:44:57.000,0.4
CAVI,04:25:01.000,04:25:00.900,0.89
CAVI,08:32:20.310,08:32:20.100,0.44
CAVI,18:26:47.000,18:26:46.300,0.37
CEYT,01:17:54.000,01:17:53.800,0.84
CEYT,01:28:35.340,01:28:34.600,0.68
CEYT,01:35:19.000,01:35:18.100,0.72
CEYT,01:36:43.000,01:36:42.700,0.91
CEYT,01:40:16.080,01:40:15.600,0.11
CEYT,01:51:35.350,01:51:35.300,0.34
CEYT,01:58:37.560,01:58:38.100,0.43
CEYT,02:02:05.340,02:02:04.800,0.62
CEYT,02:17:56.000,02:17:56.300,0.92
CEYT,02:23:34.000,02:23:33.700,0.89
CEYT,02:38:29.000,02:38:29.100,0.59
CEYT,02:44:00.000,02:43:59.700,0.93
CEYT,02:51:00.000,02:51:00.600,0.52
CEYT,02:55:28.900,02:55:29.700,0.36
CEYT,02:56:49.110,02:56:48.700,0.38
CEYT,07:00:21.000,07:00:21.400,0.85
CEYT,07:08:45.000,07:08:44.500,0.93
CEYT,07:10:23.000,07:10:23.400,0.78
CEYT,07:15:51.990,07:15:52.000,0.87
CEYT,07:24:44.000,07:24:43.900,0.79
CEYT,08:02:02.480,08:02:02.300,0.32
CEYT,08:08:58.820,08:08:59.200,0.27
CEYT,09:01:49.310,09:01:49.800,0.33
CEYT,09:03:45.010,09:03:44.200,0.57
CEYT,09:05:36.230,09:05:36.300,0.85
CEYT,09:10:38.010,09:10:37.200,0.54
CEYT,09:12:02.000,09:12:02.100,0.94
CEYT,14:02:34.000,14:02:34.500,0.28
CEYT,14:05:12.310,14:05:11.400,0.24
CEYT,14:10:41.000,14:10:41.000,0.8
CEYT,14:15:10.550,14:15:10.900,0.78
CEYT,14:25:13.000,14:25:13.600,0.89
CEYT,14:27:57.000,14:27:57.700,0.96
CEYT,14:30:19.000,14:30:20.000,0.65
CEYT,14:42:31.000,14:42:31.300,0.94
CEYT,14:48:49.000,14:48:48.900,0.83
CEYT,14:48:49.450,14:48:48.900,0.31
CEYT,16:13:17.000,16:13:16.800,0.88
CEYT,17:01:46.010,17:01:46.100,0.84
CEYT,18:05:24.000,18:05:24.300,0.67
CEYT,20:05:56.360,20:05:56.800,0.58
CEYT,20:05:56.360,20:05:57.100,0.58
CEYT,21:02:18.340,21:02:17.900,0.69
CEYT,21:03:34.320,21:03:34.900,0.21
CEYT,21:05:36.130,21:05:36.800,0.12
CEYT,21:06:55.000,21:06:54.400,0.79
CEYT,21:13:21.000,21:13:20.600,0.89
CEYT,21:15:44.870,21:15:45.500,0.54
CEYT,21:34:59.000,21:34:58.900,0.7
CEYT,22:12:17.000,22:12:16.100,0.32
CEYT,22:14:32.260,22:14:31.800,0.13
CEYT,22:26:49.000,22:26:48.500,0.69
CEYT,22:30:04.000,22:30:04.800,0.85
CEYT,22:41:33.280,22:41:34.100,0.24
CEYT,22:45:18.000,22:45:17.200,0.3
CEYT,22:51:40.000,22:51:39.800,0.77
CEYT,22:55:50.000,22:55:49.200,0.95
CEYT,23:14:00.000,23:13:59.300,0.79
CEYT,23:15:09.320,23:15:09.800,0.12
CEYT,23:21:37.760,23:21:38.400,0.27
CHBY,01:29:13.000,01:29:13.200,0.85
CHBY,10:25:44.370,10:25:43.800,0.42
CHBY,10:37:01.000,10:37:00.600,0.84
CHOM,00:16:44.290,00:16:43.500,0.11
CHOM,01:18:49.000,01:18:48.100,0.59
CHOM,03:19:17.820,03:19:18.100,0.25
CHOM,03:33:57.280,03:33:56.500,0.54
CHOM,07:51:27.990,07:51:27.200,0.73
CHOM,09:49:25.000,09:49:25.100,0.68
CHOM,10:36:57.870,10:36:58.700,0.19
CHOM,10:52:30.000,10:52:29.900,0.34
CHOM,19:41:15.000,19:41:15.300,0.83
CHOM,20:39:06.990,20:39:07.100,0.25
CHOM,20:45:10.290,20:45:10.600,0.36
CLDR,00:16:09.000,00:16:09.200,0.4
CLDR,15:26:08.000,15:26:07.700,0.68
CLDR,19:51:58.370,19:51:57.400,0.54
CORM,12:02:58.000,12:02:58.300,0.84
CORM,21:33:04.000,21:33:04.100,0.62
CORM,21:33:04.490,21:33:04.100,0.12
DALY,11:46:28.550,11:46:29.200,0.46
DALY,21:46:03.000,21:46:02.400,0.73
DARE,01:34:18.470,01:34:18.600,0.48
DARE,01:52:05.000,01:52:05.400,0.91
DARE,02:10:33.000,02:10:33.900,0.23
DARE,02:31:50.290,02:31:50.700,0.71
DARE,02:31:50.290,02:31:50.800,0.71
DARE,02:37:19.000,02:37:19.100,0.58
DARE,02:41:11.000,02:41:12.000,0.58
DARE,03:07:57.990,03:07:58.600,0.57
DARE,03:11:58.840,03:11:59.700,0.42
DARE,03:18:52.000,03:18:51.600,0.66
DARE,03:43:25.000,03:43:25.800,0.68
DARE,03:57:17.850,03:57:18.600,0.1
DARE,04:01:41.430,04:01:41.500,0.31
DARE,05:02:03.000,05:02:03.400,0.9
DARE,05:04:56.000,05:04:56.200,0.29
DARE,05:09:01.000,05:09:02.000,0.92
DARE,05:23:07.000,05:23:07.100,0.95
DARE,05:30:25.470,05:30:25.900,0.36
DARE,05:31:37.000,05:31:37.100,0.94
DARE,05:33:24.060,05:33:24.600,0.36
DARE,05:49:41.280,05:49:41.200,0.66
DARE,05:52:27.000,05:52:27.100,0.92
DARE,05:54:18.000,05:54:17.800,0.55
DARE,06:15:03.000,06:15:02.800,0.88
DARE,06:16:49.370,06:16:48.900,0.15
DARE,06:18:16.000,06:18:15.700,0.53
DARE,06:21:01.000,06:21:00.700,0.44
DARE,06:28:06.980,06:28:06.200,0.18
DARE,06:35:21.000,06:35:21.100,0.9
DARE,06:37:15.000,06:37:14.500,0.89
DARE,06:47:20.690,06:47:19.800,0.1
DARE,07:04:29.000,07:04:28.200,0.94
DARE,07:06:50.370,07:06:50.100,0.2
DARE,07:12:36.280,07:12:36.400,0.23
DARE,07:13:41.240,07:13:40.300,0.13
DARE,07:19:43.000,07:19:43.500,0.89
DARE,07:23:47.000,07:23:46.200,0.24
DARE,07:26:15.000,07:26:15.300,0.86
DARE,07:31:25.000,07:31:25.100,0.58
DARE,07:41:27.080,07:41:27.300,0.8
DARE,08:09:05.000,08:09:05.400,0.9
DARE,08:11:35.000,08:11:35.500,0.42
DARE,08:18:18.000,08:18:17.800,0.51
DARE,08:26:17.000,08:26:16.300,0.94
DARE,08:40:35.000,08:40:34.900,0.52
DARE,08:45:57.000,08:45:57.300,0.96
DARE,08:51:24.660,08:51:24.900,0.22
DARE,08:52:59.000,08:52:58.300,0.84
DARE,08:54:52.760,08:54:52.200,0.43
DARE,08:58:49.000,08:58:49.500,0.95
DARE,09:03:58.000,09:03:57.200,0.64
DARE,09:05:43.000,09:05:43.900,0.74
DARE,09:10:43.000,09:10:43.900,0.41
DARE,09:12:09.000,09:12:08.500,0.68
DARE,09:21:15.000,09:21:14.900,0.87
DARE,09:24:16.000,09:24:16.500,0.91
DARE,09:36:42.400,09:36:43.300,0.35
DARE,09:54:35.000,09:54:35.400,0.25
DARE,11:01:53.270,11:01:52.900,0.47
DARE,11:11:49.000,11:11:49.900,0.58
DARE,11:28:15.990,11:28:16.100,0.36
DARE,11:28:16.840,11:28:16.100,0.1
DARE,11:30:53.000,11:30:53.400,0.84
DARE,11:34:27.490,11:34:28.100,0.34
DARE,11:35:37.000,11:35:37.100,0.69
DARE,11:44:18.000,11:44:18.300,0.91
DARE,11:44:18.020,11:44:18.300,0.33
DARE,11:49:00.000,11:49:00.900,0.92
DARE,11:51:29.000,11:51:29.200,0.92
DARE,11:58:46.730,11:58:46.200,0.29
DARE,12:21:37.000,12:21:37.700,0.83
DARE,12:48:10.490,12:48:10.200,0.22
DARE,13:02:42.980,13:02:42.700,0.6
DARE,13:03:26.790,13:03:26.700,0.29
DARE,13:06:47.000,13:06:47.200,0.79
DARE,13:44:59.590,13:44:59.800,0.29
DARE,13:52:16.040,13:52:16.400,0.48
DARE,14:03:17.740,14:03:17.700,0.42
DARE,14:05:09.000,14:05:09.400,0.5
DARE,14:10:21.000,14:10:21.500,0.46
DARE,14:15:17.170,14:15:16.900,0.47
DARE,14:21:04.000,14:21:03.900,0.7
DARE,14:22:55.000,14:22:55.500,0.54
DARE,14:38:40.000,14:38:39.900,0.43
DARE,14:42:05.720,14:42:05.900,0.79
DARE,14:55:43.000,14:55:43.600,0.63
DARE,14:59:29.380,14:59:29.200,0.33
