station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
AGRB,09:09:22.620,09:09:22.660,0.6681878,0.73
AGRB,09:09:22.620,09:09:22.660,0.6681878,0.781
AGRB,09:09:22.620,09:09:22.660,0.6681878,0.736
AGRB,09:09:22.620,09:09:22.670,0.6681878,0.739
AGRB,09:21:27.760,09:21:27.930,0.8422822,0.402
AGRB,09:21:27.760,09:21:28.000,0.8422822,0.927
AGRB,09:21:27.760,09:21:28.010,0.8422822,0.107
AGRB,09:21:27.760,09:21:28.010,0.8422822,0.611
AGRB,19:16:46.360,19:16:46.000,0.3706921,0.922
AGRB,19:16:46.360,19:16:46.010,0.3706921,0.286
AGRB,19:16:46.360,19:16:46.290,0.3706921,0.329
AKDM,19:16:49.770,19:16:49.860,0.31130502,0.612
AKDM,19:16:49.770,19:16:49.860,0.31130502,0.631
AKDM,19:16:49.770,19:16:49.870,0.31130502,0.564
AKDM,19:16:49.770,19:16:49.930,0.31130502,0.189
APMY,19:22:48.830,19:22:48.530,0.35241067,0.31
APMY,19:22:48.830,19:22:48.530,0.35241067,0.376
BAKL,13:09:03.170,13:09:02.930,0.88809323,0.546
BAKL,13:09:03.170,13:09:02.940,0.88809323,0.546
BAKL,13:09:03.170,13:09:02.990,0.88809323,0.654
BAKL,13:09:03.170,13:09:03.260,0.88809323,0.447
BAKL,13:40:30.020,13:40:30.000,0.96967363,0.968
BAKL,13:40:30.020,13:40:30.000,0.96967363,0.864
BAKL,13:40:30.020,13:40:30.000,0.96967363,0.9
BAKL,13:40:30.020,13:40:30.000,0.96967363,0.811
BAKL,13:40:30.020,13:40:30.000,0.96967363,0.838
BAYT,09:21:07.370,09:21:07.370,0.38244528,0.182
BAYT,09:49:13.290,09:49:13.010,0.3299954,0.54
BAYT,09:49:13.290,09:49:13.240,0.3299954,0.165
BAYT,09:49:13.290,09:49:13.270,0.3299954,0.102
BLCB,09:24:25.700,09:24:25.700,0.6033962,0.718
BLCB,09:24:25.700,09:24:25.720,0.6033962,0.734
BLCB,09:24:25.700,09:24:25.720,0.6033962,0.762
BLCB,09:24:25.700,09:24:25.740,0.6033962,0.701
BLCB,09:24:25.700,09:24:26.510,0.6033962,0.394
BNGB,09:01:20.210,09:01:19.580,0.30866215,0.166
BNGB,09:01:20.210,09:01:19.580,0.30866215,0.18
BNGB,09:02:09.480,09:02:09.470,0.39531362,0.541
BNGB,09:02:09.480,09:02:09.480,0.39531362,0.438
BNGB,09:02:09.480,09:02:09.490,0.39531362,0.638
BNGB,09:02:09.480,09:02:09.530,0.39531362,0.604
BNGB,09:10:23.690,09:10:23.770,0.4970005,0.605
BNGB,09:10:23.690,09:10:23.770,0.4970005,0.591
BNGB,09:10:23.690,09:10:23.770,0.4970005,0.538
BNGB,09:11:38.690,09:11:38.690,0.630525,0.124
BNGB,09:11:38.690,09:11:38.690,0.630525,0.521
BNGB,09:11:38.690,09:11:38.750,0.630525,0.517
BNGB,09:28:34.550,09:28:34.550,0.94988513,0.817
BNGB,09:28:34.550,09:28:34.550,0.94988513,0.828
BNGB,09:28:34.550,09:28:34.550,0.94988513,0.778
BNGB,09:28:34.550,09:28:34.550,0.94988513,0.843
BNGB,09:33:47.380,09:33:47.490,0.6318297,0.297
BNGB,09:33:47.380,09:33:47.910,0.6318297,0.139
BNGB,09:33:47.380,09:33:48.000,0.6318297,0.509
BNGB,09:36:36.820,09:36:36.760,0.27487707,0.169
BNGB,09:49:00.640,09:48:59.980,0.8363012,0.509
BNGB,09:49:00.640,09:49:00.590,0.8363012,0.216
BNGB,09:49:00.640,09:49:00.660,0.8363012,0.368
BNGB,09:49:00.640,09:49:00.810,0.8363012,0.236
BNGB,09:49:00.640,09:49:00.870,0.8363012,0.164
BNGB,09:57:13.880,09:57:14.000,0.31509113,0.393
BNGB,09:57:13.880,09:57:14.000,0.31509113,0.162
BNGB,09:57:13.880,09:57:14.000,0.31509113,0.275
BNGB,09:57:13.880,09:57:14.030,0.31509113,0.327
BNGB,09:58:40.750,09:58:40.760,0.53722453,0.601
BNGB,09:58:40.750,09:58:40.760,0.53722453,0.812
BNGB,09:58:40.750,09:58:40.870,0.53722453,0.112
BNGB,09:58:40.750,09:58:40.870,0.53722453,0.189
