station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
AGRB,09:09:22.610,09:09:22.640,0.72,0.6681878,0.73
AGRB,09:09:22.610,09:09:22.640,0.72,0.6681878,0.781
AGRB,09:09:22.610,09:09:22.640,0.72,0.6681878,0.736
AGRB,09:09:22.610,09:09:22.645,0.72,0.6681878,0.739
AKDM,19:16:50.000,19:16:49.815,0.66,0.31130502,0.612
AKDM,19:16:50.000,19:16:49.815,0.66,0.31130502,0.631
AKDM,19:16:50.000,19:16:49.820,0.66,0.31130502,0.564
AKDM,19:16:50.000,19:16:49.850,0.66,0.31130502,0.189
APMY,19:22:48.990,19:22:48.680,0.67,0.35241067,0.31
APMY,19:22:48.990,19:22:48.680,0.67,0.35241067,0.376
BLCB,09:24:25.400,09:24:25.700,0.38,0.6033962,0.718
BLCB,09:24:25.400,09:24:25.710,0.38,0.6033962,0.734
BLCB,09:24:25.400,09:24:25.710,0.38,0.6033962,0.762
BLCB,09:24:25.400,09:24:25.720,0.38,0.6033962,0.701
BLCB,09:24:25.400,09:24:26.105,0.38,0.6033962,0.394
BNGB,09:01:19.390,09:01:19.895,0.36,0.30866215,0.166
BNGB,09:01:19.390,09:01:19.895,0.36,0.30866215,0.18
BNGB,09:02:09.000,09:02:09.475,0.82,0.39531362,0.541
BNGB,09:02:09.000,09:02:09.480,0.82,0.39531362,0.438
BNGB,09:02:09.000,09:02:09.485,0.82,0.39531362,0.638
BNGB,09:02:09.000,09:02:09.505,0.82,0.39531362,0.604
BNGB,09:10:23.010,09:10:23.730,0.26,0.4970005,0.605
BNGB,09:10:23.010,09:10:23.730,0.26,0.4970005,0.591
BNGB,09:10:23.010,09:10:23.730,0.26,0.4970005,0.538
BNGB,09:11:38.810,09:11:38.690,0.23,0.630525,0.124
BNGB,09:11:38.810,09:11:38.690,0.23,0.630525,0.521
BNGB,09:11:38.810,09:11:38.720,0.23,0.630525,0.517
BNGB,09:28:34.550,09:28:34.550,0.66,0.94988513,0.817
BNGB,09:28:34.550,09:28:34.550,0.66,0.94988513,0.828
BNGB,09:28:34.550,09:28:34.550,0.66,0.94988513,0.778
BNGB,09:28:34.550,09:28:34.550,0.66,0.94988513,0.843
BNGB,09:33:47.730,09:33:47.435,0.61,0.6318297,0.297
BNGB,09:33:47.730,09:33:47.645,0.61,0.6318297,0.139
BNGB,09:33:47.730,09:33:47.690,0.61,0.6318297,0.509
BNGB,09:49:01.000,09:49:00.310,0.9,0.8363012,0.509
BNGB,09:49:01.000,09:49:00.615,0.9,0.8363012,0.216
BNGB,09:49:01.000,09:49:00.650,0.9,0.8363012,0.368
BNGB,09:49:01.000,09:49:00.725,0.9,0.8363012,0.236
BNGB,09:49:01.000,09:49:00.755,0.9,0.8363012,0.164
BNGB,09:57:14.010,09:57:13.940,0.71,0.31509113,0.393
BNGB,09:57:14.010,09:57:13.940,0.71,0.31509113,0.162
BNGB,09:57:14.010,09:57:13.940,0.71,0.31509113,0.275
BNGB,09:57:14.010,09:57:13.955,0.71,0.31509113,0.327
BNGB,09:58:40.290,09:58:40.755,0.19,0.53722453,0.601
BNGB,09:58:40.290,09:58:40.755,0.19,0.53722453,0.812
BNGB,09:58:40.290,09:58:40.810,0.19,0.53722453,0.112
BNGB,09:58:40.290,09:58:40.810,0.19,0.53722453,0.189
BNN ,09:24:19.000,09:24:19.150,0.88,0.32412487,0.863
BNN ,09:24:19.000,09:24:19.250,0.88,0.32412487,0.182
BNN ,09:31:06.000,09:31:06.005,0.94,0.75255704,0.924
BNN ,09:31:06.000,09:31:06.055,0.94,0.75255704,0.691
BNN ,09:31:06.000,09:31:06.060,0.94,0.75255704,0.695
BNN ,09:31:06.000,09:31:06.070,0.94,0.75255704,0.654
BNN ,09:32:23.740,09:32:23.785,0.6,0.41517603,0.599
BNN ,09:32:23.740,09:32:23.790,0.6,0.41517603,0.664
