station,Phasenet-EQCCT_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQCCT_score
BAYT,09:49:12.900,09:49:13.150,0.3299954,0.54
BAYT,09:49:12.900,09:49:13.265,0.3299954,0.165
BAYT,09:49:12.900,09:49:13.280,0.3299954,0.102
CEYT,09:05:36.300,09:05:36.265,0.357506,0.388
CEYT,09:05:36.300,09:05:36.265,0.357506,0.465
CEYT,09:05:36.300,09:05:36.265,0.357506,0.513
CEYT,09:12:02.100,09:12:02.035,0.6372152,0.936
CEYT,09:12:02.100,09:12:02.060,0.6372152,0.469
CEYT,09:12:02.100,09:12:02.090,0.6372152,0.631
CEYT,09:12:02.100,09:12:02.100,0.6372152,0.599
CEYT,09:23:56.900,09:23:56.815,0.9216128,0.28
CEYT,09:23:56.900,09:23:56.860,0.9216128,0.378
CEYT,09:23:56.900,09:23:56.895,0.9216128,0.763
CEYT,09:36:33.400,09:36:33.885,0.68372643,0.322
CEYT,09:36:33.400,09:36:33.905,0.68372643,0.331
CEYT,09:36:33.400,09:36:33.915,0.68372643,0.942
CHOM,03:19:18.100,03:19:18.240,0.43413585,0.422
CHOM,03:19:18.100,03:19:18.240,0.43413585,0.345
CHOM,03:19:18.100,03:19:18.280,0.43413585,0.429
CHOM,03:19:18.100,03:19:18.280,0.43413585,0.635
CHOM,03:19:18.100,03:19:18.290,0.43413585,0.592
DARE,09:12:08.500,09:12:08.240,0.5918102,0.821
DARE,09:12:08.500,09:12:08.385,0.5918102,0.194
DARE,09:12:08.500,09:12:08.555,0.5918102,0.438
DARE,09:12:52.700,09:12:52.795,0.28848702,0.189
DARE,09:12:52.700,09:12:52.835,0.28848702,0.282
DARE,09:12:52.700,09:12:52.920,0.28848702,0.497
DARE,09:21:14.900,09:21:14.865,0.9178511,0.157
DARE,09:21:14.900,09:21:14.890,0.9178511,0.315
DARE,09:21:14.900,09:21:14.910,0.9178511,0.499
DARE,09:54:35.400,09:54:36.365,0.53987,0.343
ERZN,09:48:57.600,09:48:57.255,0.85751283,0.694
ERZN,09:48:57.600,09:48:57.515,0.85751283,0.654
ERZN,09:48:57.600,09:48:57.515,0.85751283,0.663
ERZN,09:48:57.600,09:48:57.515,0.85751283,0.52
GULA,13:59:23.600,13:59:23.710,0.29957592,0.673
GULA,13:59:23.600,13:59:23.720,0.29957592,0.345
KARO,03:18:46.900,03:18:46.955,0.98702556,0.146
KARO,03:18:46.900,03:18:46.955,0.98702556,0.866
KARO,03:18:46.900,03:18:46.955,0.98702556,0.849
KARO,03:18:46.900,03:18:46.965,0.98702556,0.859
KARO,03:18:46.900,03:18:46.970,0.98702556,0.861
KARO,03:33:36.400,03:33:36.355,0.97802764,0.635
KARO,03:33:36.400,03:33:36.360,0.97802764,0.847
KARO,03:33:36.400,03:33:36.360,0.97802764,0.86
KARO,03:33:36.400,03:33:36.360,0.97802764,0.86
KARO,03:33:36.400,03:33:36.375,0.97802764,0.86
KARO,09:49:07.500,09:49:06.925,0.4962353,0.42
KARO,09:49:07.500,09:49:06.960,0.4962353,0.635
KARO,09:49:07.500,09:49:06.985,0.4962353,0.65
KMRS,09:01:53.700,09:01:53.680,0.3004953,0.238
KMRS,09:01:53.700,09:01:53.690,0.3004953,0.339
KMRS,09:01:53.700,09:01:53.690,0.3004953,0.384
KMRS,09:01:53.700,09:01:53.745,0.3004953,0.772
KMRS,09:11:47.500,09:11:47.170,0.9188046,0.755
KMRS,09:11:47.500,09:11:47.185,0.9188046,0.809
KMRS,09:11:47.500,09:11:47.185,0.9188046,0.82
KMRS,09:11:47.500,09:11:47.190,0.9188046,0.833
KMRS,09:12:33.200,09:12:33.325,0.93858016,0.749
KMRS,09:12:33.200,09:12:33.330,0.93858016,0.789
KMRS,09:12:33.200,09:12:33.330,0.93858016,0.769
KMRS,09:12:33.200,09:12:33.345,0.93858016,0.745
KMRS,09:34:22.900,09:34:22.810,0.90184706,0.629
KMRS,09:34:22.900,09:34:22.810,0.90184706,0.622
KMRS,09:34:22.900,09:34:22.815,0.90184706,0.697
KMRS,09:34:22.900,09:34:22.815,0.90184706,0.715
KOZT,09:01:54.400,09:01:54.140,0.3361555,0.925
KOZT,09:01:54.400,09:01:54.145,0.3361555,0.508
KOZT,09:01:54.400,09:01:54.305,0.3361555,0.692
KOZT,09:01:54.400,09:01:54.315,0.3361555,0.761
KOZT,09:05:34.800,09:05:34.110,0.42814675,0.932
KOZT,09:05:34.800,09:05:34.175,0.42814675,0.378
KOZT,09:05:34.800,09:05:34.180,0.42814675,0.36
KOZT,09:08:35.400,09:08:35.525,0.32583654,0.407
KOZT,09:08:35.400,09:08:35.540,0.32583654,0.268
KOZT,09:10:35.800,09:10:35.475,0.3082452,0.296
KOZT,09:10:35.800,09:10:35.485,0.3082452,0.345
KOZT,09:10:35.800,09:10:35.505,0.3082452,0.397
KOZT,09:11:59.400,09:11:59.200,0.8182734,0.589
KOZT,09:11:59.400,09:11:59.350,0.8182734,0.244
KOZT,09:11:59.400,09:11:59.415,0.8182734,0.606
KOZT,09:11:59.400,09:11:59.430,0.8182734,0.405
KOZT,09:34:37.700,09:34:37.160,0.42258987,0.581
KOZT,09:34:37.700,09:34:37.170,0.42258987,0.507
KOZT,09:34:37.700,09:34:37.195,0.42258987,0.446
KOZT,09:36:32.000,09:36:32.300,0.731341,0.253
KOZT,09:36:32.000,09:36:32.550,0.731341,0.425
KOZT,09:36:32.000,09:36:32.550,0.731341,0.38
KOZT,09:36:32.000,09:36:32.705,0.731341,0.688
LICE,03:22:07.100,03:22:07.020,0.86592424,0.413
LICE,03:22:07.100,03:22:07.020,0.86592424,0.427
LICE,03:22:07.100,03:22:07.060,0.86592424,0.848
MERS,09:24:12.800,09:24:13.000,0.33777195,0.106
SARI,09:10:41.200,09:10:40.255,0.3152649,0.196
SARI,09:10:41.200,09:10:40.255,0.3152649,0.182
SARI,09:12:05.800,09:12:04.895,0.55047184,0.471
SARI,09:12:05.800,09:12:04.915,0.55047184,0.494
SARI,09:12:05.800,09:12:04.930,0.55047184,0.952
SARI,09:12:05.800,09:12:04.930,0.55047184,0.653
SARI,09:24:11.900,09:24:12.585,0.34468877,0.601
SARI,09:24:11.900,09:24:12.655,0.34468877,0.173
SARI,09:36:38.900,09:36:38.830,0.72195965,0.651
