station,Phasenet_pick_time,EQTransformer_pick_time,Phasenet_pick_score,QTransformer_pick_score
ADVT,08:11:52.290,08:11:53.000,0.28826016,0.91
ADVT,08:32:18.820,08:32:17.830,0.34483862,0.23
ADVT,08:46:45.220,08:46:45.280,0.57915694,0.84
ADVT,13:18:35.500,13:18:35.000,0.41180268,0.21
ADVT,13:56:22.410,13:56:22.000,0.39285684,0.54
ADVT,14:04:03.720,14:04:03.000,0.2783619,0.42
ADVT,17:12:00.050,17:12:00.010,0.6229497,0.91
ADVT,23:16:49.430,23:16:49.520,0.8098174,0.81
AFSR,09:55:10.370,09:55:10.000,0.28795305,0.25
AFSR,10:18:51.320,10:18:51.260,0.98450327,0.68
AFSR,14:45:17.360,14:45:17.330,0.9950805,0.81
AFSR,17:12:37.900,17:12:38.000,0.40098292,0.55
AGRB,05:12:52.750,05:12:52.840,0.5488459,0.79
AGRB,09:09:22.620,09:09:22.610,0.6681878,0.72
AKDM,00:16:05.700,00:16:05.720,0.3985787,0.51
AKDM,00:17:20.830,00:17:21.000,0.44023,0.78
AKDM,06:32:20.360,06:32:20.280,0.78003824,0.73
AKDM,06:35:24.010,06:35:24.000,0.90627676,0.91
AKDM,07:07:49.150,07:07:49.010,0.42313346,0.77
AKDM,08:18:03.280,08:18:04.000,0.31446546,0.9
AKDM,19:16:49.770,19:16:50.000,0.31130502,0.66
ANTB,04:49:21.010,04:49:21.000,0.4388626,0.94
ANTB,07:22:35.430,07:22:35.000,0.3579186,0.3
ANTB,07:22:35.430,07:22:35.590,0.3579186,0.48
APMY,11:35:16.890,11:35:16.810,0.9463288,0.43
APMY,14:11:22.130,14:11:22.000,0.5133327,0.66
APMY,14:39:09.680,14:39:09.650,0.53215206,0.51
APMY,14:39:44.720,14:39:44.670,0.43631297,0.79
APMY,14:44:46.260,14:44:46.260,0.89993006,0.84
APMY,15:33:04.400,15:33:04.350,0.42753586,0.72
APMY,16:12:08.260,16:12:07.370,0.26923087,0.49
APMY,16:15:36.900,16:15:37.280,0.33457336,0.5
APMY,16:22:50.370,16:22:50.000,0.9558456,0.9
APMY,16:44:39.180,16:44:39.200,0.5177763,0.36
APMY,17:23:22.550,17:23:22.630,0.5976223,0.79
APMY,17:51:22.530,17:51:22.370,0.36748666,0.55
APMY,17:58:04.050,17:58:04.000,0.90634745,0.94
APMY,18:09:33.680,18:09:33.000,0.49903077,0.85
APMY,19:22:48.830,19:22:48.990,0.35241067,0.67
APMY,21:24:02.330,21:24:02.320,0.9921295,0.82
APMY,21:46:08.700,21:46:08.000,0.30055317,0.55
APMY,21:58:36.300,21:58:36.270,0.47481677,0.56
APMY,23:14:13.860,23:14:13.840,0.42733812,0.28
APMY,23:22:40.980,23:22:40.840,0.42352244,0.84
ARMT,00:06:53.650,00:06:54.000,0.31888622,0.72
ARMT,05:21:37.460,05:21:37.310,0.34466422,0.12
ARMT,06:51:21.210,06:51:22.000,0.40827322,0.38
ARMT,06:54:52.120,06:54:51.850,0.44651553,0.81
ARMT,07:14:33.820,07:14:33.440,0.38314846,0.36
ARMT,08:13:34.670,08:13:34.720,0.27730542,0.82
ARMT,14:34:06.610,14:34:07.000,0.32185286,0.63
AYDB,04:25:09.580,04:25:09.570,0.3611749,0.45
AYDB,17:58:10.650,17:58:10.000,0.35920167,0.86
AYDB,21:32:24.540,21:32:24.590,0.9727998,0.81
BAYT,05:04:20.300,05:04:20.280,0.3058374,0.28
BAYT,21:16:11.400,21:16:12.000,0.27942622,0.23
BCA ,00:16:33.550,00:16:34.010,0.34150276,0.67
BCA ,04:19:48.840,04:19:48.940,0.2880617,0.41
BCA ,05:23:55.560,05:23:55.010,0.27054507,0.64
BCA ,14:52:19.870,14:52:19.730,0.43762252,0.66
BCA ,16:03:54.610,16:03:54.570,0.42134926,0.66
BCA ,21:05:51.650,21:05:51.660,0.47957113,0.74
BCK ,20:01:02.540,20:01:02.320,0.3246493,0.57
BGKT,08:48:23.250,08:48:23.240,0.451692,0.66
BLCB,00:48:08.530,00:48:08.590,0.7730843,0.86
BLCB,02:58:51.610,02:58:51.580,0.39643314,0.47
BLCB,07:14:49.160,07:14:49.010,0.9518639,0.72
BLCB,07:51:04.880,07:51:04.900,0.98061675,0.77
BLCB,08:05:16.040,08:05:16.080,0.73271334,0.68
BLCB,09:24:25.700,09:24:25.400,0.6033962,0.38
BLVD,04:51:03.200,04:51:03.220,0.9939434,0.78
BLVD,04:52:42.110,04:52:42.120,0.99200404,0.85
BLVD,08:06:02.740,08:06:02.580,0.4979557,0.16
BLVD,08:06:02.740,08:06:02.720,0.4979557,0.89
BLVD,08:30:05.560,08:30:05.560,0.48458114,0.75
BLVD,12:17:30.050,12:17:30.050,0.9742507,0.62
BLVD,18:20:09.830,18:20:09.840,0.43992263,0.86
BLVD,18:21:37.630,18:21:37.670,0.5311544,0.85
BLVD,21:23:01.670,21:23:01.710,0.95134336,0.9
BLVD,23:16:06.920,23:16:07.010,0.3327889,0.47
BNGB,01:47:52.000,01:47:52.000,0.5894382,0.79
BNGB,02:10:08.350,02:10:08.300,0.7484696,0.81
BNGB,02:10:53.660,02:10:53.710,0.9863058,0.85
BNGB,02:31:53.850,02:31:53.640,0.35210073,0.52
BNGB,02:32:38.460,02:32:38.520,0.94964564,0.78
BNGB,02:43:59.650,02:43:59.660,0.41223264,0.81
BNGB,02:52:24.160,02:52:24.210,0.57161355,0.61
BNGB,02:57:20.900,02:57:21.000,0.3540168,0.94
