station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
ADVT,08:32:19.200,08:32:18.325,0.34483862,0.23
AFSR,14:45:17.400,14:45:17.345,0.9950805,0.81
AGRB,05:12:52.700,05:12:52.795,0.5488459,0.79
AKDM,00:16:05.600,00:16:05.710,0.3985787,0.51
APMY,14:39:44.800,14:39:44.695,0.43631297,0.79
APMY,17:58:04.300,17:58:04.025,0.90634745,0.94
APMY,21:46:07.600,21:46:08.350,0.30055317,0.55
BNGB,02:52:23.600,02:52:24.185,0.57161355,0.61
BNGB,07:50:57.600,07:50:57.710,0.9723469,0.62
BNGB,11:18:35.900,11:18:36.635,0.80662584,0.14
BNGB,14:45:22.800,14:45:22.760,0.9068463,0.64
BNGB,17:17:58.900,17:17:58.770,0.6517413,0.26
BNGB,21:50:24.300,21:50:24.950,0.4225282,0.92
CEYT,01:17:53.800,01:17:54.175,0.38877133,0.84
CEYT,01:28:34.600,01:28:35.130,0.3472194,0.68
CEYT,01:36:42.700,01:36:42.970,0.3528082,0.91
CEYT,01:51:35.300,01:51:35.325,0.5579387,0.34
CEYT,01:58:38.100,01:58:37.400,0.32602727,0.43
CEYT,02:02:04.800,02:02:05.420,0.40389034,0.62
CEYT,02:17:56.300,02:17:56.135,0.28263757,0.92
CEYT,07:08:44.500,07:08:44.850,0.47852707,0.93
CEYT,07:15:52.000,07:15:51.850,0.28129077,0.87
CEYT,08:02:02.300,08:02:02.405,0.5048926,0.32
CEYT,08:08:59.200,08:08:58.910,0.30286247,0.27
CEYT,09:01:49.800,09:01:48.975,0.37013486,0.33
CEYT,09:05:36.300,09:05:36.235,0.357506,0.85
CEYT,09:12:02.100,09:12:02.035,0.6372152,0.94
CEYT,14:15:10.900,14:15:10.560,0.43106645,0.78
CEYT,14:27:57.700,14:27:57.035,0.7177256,0.96
CEYT,14:30:20.000,14:30:19.430,0.31326056,0.65
CEYT,20:05:56.800,20:05:56.315,0.5579345,0.58
