station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
ADVT,08:32:18.820,08:32:19.200,0.34483862
AFSR,14:45:17.360,14:45:17.400,0.9950805
AGRB,03:33:55.150,03:33:55.500,0.41326335
AGRB,05:12:52.750,05:12:52.700,0.5488459
AKDM,00:16:05.700,00:16:05.600,0.3985787
APMY,11:46:27.250,11:46:27.200,0.8385639
APMY,14:39:44.720,14:39:44.800,0.43631297
APMY,17:58:04.050,17:58:04.300,0.90634745
ARMT,04:24:50.220,04:24:50.900,0.44288036
BABD,17:57:58.390,17:57:58.300,0.5653045
BAKL,17:58:01.400,17:58:01.500,0.8230628
BAKL,18:58:10.400,18:58:10.800,0.47013903
BAYT,09:49:13.290,09:49:12.900,0.3299954
BAYT,20:54:08.010,20:54:08.500,0.2941496
BNGB,02:52:24.160,02:52:23.600,0.57161355
BNGB,07:50:57.690,07:50:57.600,0.9723469
BNGB,11:18:36.300,11:18:35.900,0.80662584
BNGB,14:45:22.770,14:45:22.800,0.9068463
BNGB,17:17:58.790,17:17:58.900,0.6517413
BNGB,21:50:24.900,21:50:24.300,0.4225282
CANT,19:41:24.460,19:41:24.400,0.3151402
CEYT,01:17:54.350,01:17:53.800,0.38877133
CEYT,01:28:34.920,01:28:34.600,0.3472194
CEYT,01:36:42.940,01:36:42.700,0.3528082
CEYT,01:51:35.300,01:51:35.300,0.5579387
CEYT,01:58:37.240,01:58:38.100,0.32602727
CEYT,02:02:05.500,02:02:04.800,0.40389034
CEYT,02:17:56.270,02:17:56.300,0.28263757
CEYT,02:54:12.280,02:54:13.200,0.5441154
CEYT,03:28:06.890,03:28:06.500,0.286646
CEYT,03:33:10.130,03:33:10.200,0.43653807
CEYT,03:58:32.310,03:58:32.800,0.5447763
CEYT,04:01:33.670,04:01:33.900,0.29277292
CEYT,04:31:20.180,04:31:20.300,0.29046825
CEYT,04:48:09.410,04:48:09.700,0.5357948
CEYT,04:50:31.030,04:50:31.100,0.667588
CEYT,05:08:55.350,05:08:55.000,0.42998725
CEYT,05:36:47.300,05:36:47.600,0.28943005
CEYT,06:08:02.820,06:08:03.600,0.30338213
CEYT,06:38:22.390,06:38:22.600,0.5471339
CEYT,06:55:24.510,06:55:24.700,0.30362964
CEYT,07:08:44.700,07:08:44.500,0.47852707
CEYT,07:15:51.710,07:15:52.000,0.28129077
CEYT,07:35:57.600,07:35:58.100,0.27562076
CEYT,08:02:02.330,08:02:02.300,0.5048926
CEYT,08:08:59.000,08:08:59.200,0.30286247
CEYT,08:26:09.000,08:26:08.200,0.3802034
CEYT,08:47:08.940,08:47:09.200,0.70022696
CEYT,08:47:08.940,08:47:09.200,0.70022696
CEYT,09:05:36.240,09:05:36.300,0.357506
CEYT,09:12:02.070,09:12:02.100,0.6372152
CEYT,09:23:56.790,09:23:56.900,0.9216128
CEYT,09:36:33.830,09:36:33.400,0.68372643
CEYT,10:09:33.660,10:09:33.600,0.5811944
CEYT,12:02:36.220,12:02:37.200,0.3411746
CEYT,12:28:06.570,12:28:05.900,0.29924172
CEYT,13:24:26.330,13:24:26.400,0.5162832
CEYT,14:15:10.570,14:15:10.900,0.43106645
CEYT,14:27:57.070,14:27:57.700,0.7177256
CEYT,14:30:19.860,14:30:20.000,0.31326056
CEYT,14:54:02.390,14:54:01.900,0.8606712
CEYT,15:03:58.800,15:03:58.800,0.3558132
CEYT,15:27:39.040,15:27:39.200,0.27342406
CEYT,17:12:18.150,17:12:18.900,0.29094934
CEYT,17:31:49.000,17:31:49.000,0.7385502
CEYT,17:37:50.450,17:37:50.900,0.3879227
CEYT,18:50:19.810,18:50:19.100,0.55007035
CEYT,19:48:21.020,19:48:20.800,0.2783523
CEYT,20:05:56.270,20:05:56.800,0.5579345
CEYT,20:05:56.270,20:05:57.100,0.5579345
CEYT,20:14:34.350,20:14:33.700,0.38417834
CEYT,20:38:13.020,20:38:12.300,0.5278283
CEYT,21:02:18.420,21:02:17.900,0.5538728
CEYT,21:34:58.480,21:34:58.900,0.4181652
CEYT,21:39:01.800,21:39:02.700,0.62088233
CEYT,21:40:25.500,21:40:24.500,0.36664122
CEYT,21:41:49.320,21:41:49.600,0.5482189
CEYT,21:58:07.130,21:58:07.600,0.2972111
CEYT,22:26:48.030,22:26:48.500,0.45267752
CEYT,22:30:03.930,22:30:04.800,0.3292185
CEYT,22:55:49.880,22:55:49.200,0.32665986
CEYT,23:21:37.990,23:21:38.400,0.35908693
CHOM,03:19:18.290,03:19:18.100,0.43413585
CLDR,00:16:08.680,00:16:09.200,0.39452597
CLDR,15:26:08.360,15:26:07.700,0.3931486
DARE,01:34:18.870,01:34:18.600,0.3665753
DARE,01:52:05.290,01:52:05.400,0.3421698
DARE,02:37:19.900,02:37:19.100,0.27332082
DARE,03:10:33.300,03:10:34.200,0.48115778
DARE,03:18:51.510,03:18:51.600,0.32243016
DARE,03:49:08.080,03:49:08.300,0.3447006
DARE,04:14:34.140,04:14:34.600,0.37561744
DARE,05:02:02.770,05:02:03.400,0.86596763
DARE,05:09:01.040,05:09:02.000,0.40312114
DARE,05:23:07.050,05:23:07.100,0.49431705
DARE,05:26:48.020,05:26:47.900,0.81991243
DARE,05:31:37.140,05:31:37.100,0.9058391
DARE,05:33:24.370,05:33:24.600,0.7211405
DARE,05:40:50.470,05:40:50.900,0.268506
DARE,05:49:41.080,05:49:41.200,0.44698328
DARE,05:52:26.860,05:52:27.100,0.3586414
DARE,06:15:03.100,06:15:02.800,0.40094537
DARE,06:18:15.640,06:18:15.700,0.824489
DARE,06:28:06.020,06:28:06.200,0.2854659
DARE,07:06:50.270,07:06:50.100,0.33321178
DARE,07:09:07.570,07:09:07.100,0.28870142
DARE,07:09:07.570,07:09:07.800,0.28870142
DARE,07:12:36.300,07:12:36.400,0.37009025
DARE,07:39:09.690,07:39:09.700,0.31646028
DARE,07:41:27.010,07:41:27.300,0.46112114
DARE,08:09:05.200,08:09:05.400,0.48567778
DARE,08:15:04.770,08:15:03.900,0.3776026
DARE,08:40:34.980,08:40:34.900,0.43657562
DARE,08:44:57.800,08:44:57.600,0.27407998
DARE,08:45:56.910,08:45:57.300,0.27055925
DARE,08:54:52.650,08:54:52.200,0.33131164
DARE,08:58:49.240,08:58:49.500,0.91960365
DARE,09:12:08.480,09:12:08.500,0.5918102
DARE,09:12:52.840,09:12:52.700,0.28848702
DARE,09:21:14.850,09:21:14.900,0.9178511
DARE,09:54:36.380,09:54:35.400,0.53987
DARE,10:07:49.990,10:07:50.200,0.4376242
DARE,10:12:30.740,10:12:31.100,0.7806335
DARE,10:36:07.330,10:36:08.300,0.6430093
DARE,10:51:41.740,10:51:41.900,0.44519666
DARE,11:11:49.790,11:11:49.900,0.92339015
DARE,11:30:53.270,11:30:53.400,0.50113654
DARE,11:35:36.900,11:35:37.100,0.4891621
DARE,11:44:18.040,11:44:18.300,0.8023096
DARE,11:58:46.500,11:58:46.200,0.90099514
