station,EQCCT-EQTransformer_Average_pick_time,Kandilli_pick_time,EQCCT_score,EQTransformer_score
CEYT,09:12:15.800,09:12:16.405,0.293,0.18
CEYT,09:12:15.800,09:12:16.405,0.296,0.18
DARE,09:06:28.700,09:06:29.560,0.206,0.3
DARE,09:06:28.700,09:06:29.565,0.217,0.3
DARE,09:06:28.700,09:06:29.585,0.195,0.3
DARE,09:06:28.700,09:06:29.590,0.184,0.3
DARE,09:21:26.200,09:21:26.330,0.256,0.12
DARE,09:21:26.200,09:21:26.330,0.287,0.12
DARE,09:21:26.200,09:21:26.355,0.266,0.12
DARE,09:54:46.100,09:54:46.675,0.472,0.3
DARE,09:54:46.100,09:54:46.680,0.129,0.3
GULA,16:44:25.300,16:44:26.160,0.111,0.23
GULA,16:44:25.300,16:44:26.160,0.533,0.23
GULA,16:44:25.300,16:44:26.160,0.515,0.23
KARO,03:18:48.800,03:18:48.755,0.803,0.78
KARO,03:18:48.800,03:18:48.755,0.792,0.78
KARO,03:18:48.800,03:18:48.755,0.779,0.78
KARO,03:18:48.800,03:18:48.755,0.813,0.78
KARO,03:33:42.100,03:33:42.075,0.552,0.64
KARO,03:33:42.100,03:33:42.085,0.661,0.64
KARO,03:33:42.100,03:33:42.085,0.655,0.64
KARO,03:33:42.100,03:33:42.085,0.716,0.64
KARO,03:33:42.100,03:33:42.090,0.509,0.64
KMRS,09:12:35.400,09:12:35.535,0.614,0.76
KMRS,09:12:35.400,09:12:35.535,0.591,0.76
KMRS,09:12:35.400,09:12:35.535,0.544,0.76
KMRS,09:12:35.400,09:12:35.535,0.585,0.76
KOZT,09:05:47.200,09:05:46.365,0.395,0.24
KOZT,09:05:47.200,09:05:46.365,0.376,0.24
KOZT,09:05:47.200,09:05:46.375,0.448,0.24
KOZT,09:06:24.900,09:06:25.605,0.145,0.1
KOZT,09:06:24.900,09:06:25.625,0.345,0.1
KOZT,09:06:24.900,09:06:25.635,0.294,0.1
KOZT,09:06:24.900,09:06:25.635,0.34,0.1
KOZT,09:10:48.100,09:10:48.395,0.426,0.36
KOZT,09:10:48.100,09:10:48.465,0.426,0.41
KOZT,09:10:48.100,09:10:48.395,0.416,0.36
KOZT,09:10:48.100,09:10:48.465,0.416,0.41
KOZT,09:10:48.100,09:10:48.400,0.485,0.36
KOZT,09:10:48.100,09:10:48.470,0.485,0.41
KOZT,09:10:48.100,09:10:48.410,0.406,0.36
KOZT,09:10:48.100,09:10:48.480,0.406,0.41
KOZT,09:12:11.800,09:12:12.315,0.27,0.19
KOZT,09:12:11.800,09:12:12.340,0.103,0.19
KOZT,09:34:50.900,09:34:50.120,0.295,0.25
KOZT,09:34:50.900,09:34:50.120,0.289,0.25
KOZT,09:34:50.900,09:34:50.120,0.22,0.25
KOZT,09:34:50.900,09:34:50.120,0.435,0.25
KOZT,09:36:43.700,09:36:44.655,0.285,0.21
SARI,09:02:30.400,09:02:30.425,0.34,0.27
SARI,09:02:30.400,09:02:30.450,0.184,0.27
SARI,09:02:30.400,09:02:30.460,0.483,0.27
SARI,09:02:30.400,09:02:30.460,0.292,0.27
SARI,09:04:11.500,09:04:12.450,0.419,0.33
SARI,09:04:11.500,09:04:12.455,0.248,0.33
SARI,09:04:11.500,09:04:12.455,0.553,0.33
SARI,09:04:11.500,09:04:12.470,0.481,0.33
SARI,09:05:57.900,09:05:57.580,0.392,0.51
SARI,09:05:57.900,09:05:57.580,0.383,0.51
SARI,09:05:57.900,09:05:57.595,0.604,0.51
SARI,09:12:21.900,09:12:21.545,0.356,0.26
SARI,09:12:21.900,09:12:21.910,0.356,0.37
SARI,09:12:21.900,09:12:21.545,0.365,0.26
SARI,09:12:21.900,09:12:21.910,0.365,0.37
SARI,09:21:48.700,09:21:48.060,0.405,0.44
SARI,09:21:48.700,09:21:48.065,0.59,0.44
SARI,09:21:48.700,09:21:48.075,0.694,0.44
SARI,09:21:48.700,09:21:48.075,0.618,0.44
SARI,09:58:03.000,09:58:03.040,0.156,0.36
SARI,09:58:03.000,09:58:03.060,0.156,0.22
SARI,09:58:03.000,09:58:03.045,0.527,0.36
SARI,09:58:03.000,09:58:03.065,0.527,0.22
SARI,09:58:03.000,09:58:03.045,0.522,0.36
SARI,09:58:03.000,09:58:03.065,0.522,0.22
SARI,09:58:03.000,09:58:03.050,0.315,0.36
SARI,09:58:03.000,09:58:03.070,0.315,0.22
SARI,09:59:11.500,09:59:11.960,0.185,0.22
SARI,09:59:11.500,09:59:11.960,0.147,0.22
SARI,09:59:11.500,09:59:11.970,0.154,0.22
SAUV,09:53:22.800,09:53:23.365,0.518,0.52
SAUV,09:53:22.800,09:53:23.365,0.277,0.52
SAUV,09:53:22.800,09:53:23.375,0.629,0.52
SAUV,09:53:22.800,09:53:23.375,0.576,0.52
URFA,14:03:45.800,14:03:45.015,0.329,0.3
URFA,14:03:45.800,14:03:45.015,0.374,0.3
URFA,14:03:45.800,14:03:45.030,0.142,0.3
URFA,14:03:45.800,14:03:45.030,0.245,0.3
URFA,14:25:33.900,14:25:34.080,0.429,0.52
URFA,14:25:33.900,14:25:34.080,0.52,0.52
URFA,14:25:33.900,14:25:34.085,0.393,0.52
URFA,14:25:33.900,14:25:34.105,0.171,0.52
URFA,14:33:39.900,14:33:40.010,0.35,0.29
