station,EQCCT_pick_time,Kandilli_pick_time,EQCCT_pick_score
CEYT,09:12:16.520,09:12:15.800,0.293
CEYT,09:12:16.520,09:12:15.800,0.296
CEYT,09:34:55.200,09:34:55.200,0.157
CEYT,09:34:55.200,09:34:55.200,0.193
CEYT,09:34:55.230,09:34:55.200,0.2
CEYT,09:34:55.670,09:34:55.200,0.21
CEYT,09:34:55.690,09:34:55.200,0.209
DARE,09:06:29.500,09:06:28.700,0.206
DARE,09:06:29.510,09:06:28.700,0.217
DARE,09:06:29.550,09:06:28.700,0.195
DARE,09:06:29.560,09:06:28.700,0.184
DARE,09:21:26.520,09:21:26.200,0.256
DARE,09:21:26.520,09:21:26.200,0.287
DARE,09:21:26.570,09:21:26.200,0.266
DARE,09:54:46.720,09:54:46.100,0.472
DARE,09:54:46.730,09:54:46.100,0.129
GULA,09:32:45.370,09:32:46.100,0.311
GULA,09:32:45.460,09:32:46.100,0.422
GULA,09:32:45.470,09:32:46.100,0.436
GULA,09:32:45.470,09:32:46.100,0.503
GULA,16:44:26.170,16:44:25.300,0.111
GULA,16:44:26.170,16:44:25.300,0.533
GULA,16:44:26.170,16:44:25.300,0.515
KARO,03:18:48.760,03:18:48.800,0.803
KARO,03:18:48.760,03:18:48.800,0.792
KARO,03:18:48.760,03:18:48.800,0.779
KARO,03:18:48.760,03:18:48.800,0.813
KARO,03:33:42.060,03:33:42.100,0.552
KARO,03:33:42.080,03:33:42.100,0.661
KARO,03:33:42.080,03:33:42.100,0.655
KARO,03:33:42.080,03:33:42.100,0.716
KARO,03:33:42.090,03:33:42.100,0.509
KARS,00:16:31.730,00:16:32.500,0.116
KARS,00:16:31.770,00:16:32.500,0.144
KARS,00:16:31.770,00:16:32.500,0.46
KARS,00:16:31.770,00:16:32.500,0.471
KMRS,09:02:06.720,09:02:06.300,0.419
KMRS,09:02:06.750,09:02:06.300,0.509
KMRS,09:02:06.750,09:02:06.300,0.487
KMRS,09:02:06.750,09:02:06.300,0.524
KMRS,09:02:06.800,09:02:06.300,0.189
KMRS,09:12:35.520,09:12:35.400,0.614
KMRS,09:12:35.520,09:12:35.400,0.591
KMRS,09:12:35.520,09:12:35.400,0.544
KMRS,09:12:35.520,09:12:35.400,0.585
KMRS,09:34:24.720,09:34:24.900,0.452
KMRS,09:34:24.750,09:34:24.900,0.468
KMRS,09:34:24.750,09:34:24.900,0.461
KMRS,09:34:24.750,09:34:24.900,0.468
KOZT,09:02:07.470,09:02:06.600,0.334
KOZT,09:02:07.470,09:02:06.600,0.328
KOZT,09:02:07.470,09:02:06.600,0.461
KOZT,09:02:07.470,09:02:06.600,0.165
KOZT,09:05:46.370,09:05:47.200,0.395
KOZT,09:05:46.370,09:05:47.200,0.376
KOZT,09:05:46.390,09:05:47.200,0.448
KOZT,09:06:25.490,09:06:24.900,0.145
KOZT,09:06:25.530,09:06:24.900,0.345
KOZT,09:06:25.550,09:06:24.900,0.294
