station,EQTransformer_pick_time,EQCCT_pick_time,EQTransformer_pick_score,EQCCT_score
ADVT,02:19:22.220,02:19:22.030,0.28,0.183
ADVT,02:19:22.220,02:19:22.030,0.28,0.159
ADVT,02:19:22.220,02:19:22.090,0.28,0.245
ADVT,02:24:57.840,02:24:58.030,0.1,0.106
ADVT,02:24:57.840,02:24:58.070,0.1,0.137
ADVT,02:24:57.840,02:24:58.090,0.1,0.164
ADVT,04:12:01.330,04:12:01.390,0.41,0.109
ADVT,04:12:01.330,04:12:01.390,0.41,0.483
ADVT,04:12:01.330,04:12:01.390,0.41,0.481
ADVT,04:12:01.330,04:12:01.390,0.41,0.17
ADVT,04:20:35.700,04:20:35.730,0.21,0.13
ADVT,04:20:35.700,04:20:35.760,0.21,0.257
ADVT,04:20:35.810,04:20:35.730,0.29,0.13
ADVT,04:20:35.810,04:20:35.760,0.29,0.257
ADVT,04:25:25.650,04:25:25.760,0.28,0.286
ADVT,04:25:25.650,04:25:25.770,0.28,0.368
ADVT,04:25:25.650,04:25:25.770,0.28,0.519
ADVT,04:25:25.830,04:25:25.760,0.33,0.286
ADVT,04:25:25.830,04:25:25.770,0.33,0.368
ADVT,04:25:25.830,04:25:25.770,0.33,0.519
AFSR,11:06:38.430,11:06:38.000,0.17,0.424
AFSR,11:06:38.430,11:06:38.030,0.17,0.237
AFSR,13:46:26.340,13:46:26.490,0.24,0.174
AGRB,09:09:26.940,09:09:26.670,0.29,0.334
AGRB,09:09:26.940,09:09:26.670,0.29,0.342
AGRB,09:09:26.940,09:09:26.670,0.29,0.319
AGRB,09:09:26.940,09:09:26.670,0.29,0.332
AGRB,19:03:23.510,19:03:23.330,0.23,0.159
AGRB,19:03:23.510,19:03:23.360,0.23,0.276
AGRB,19:03:23.510,19:03:23.370,0.23,0.296
AGRB,19:03:23.510,19:03:23.390,0.23,0.356
AKDM,09:11:18.030,09:11:17.950,0.2,0.336
AKDM,09:11:18.030,09:11:17.950,0.2,0.564
AKDM,09:11:18.030,09:11:17.950,0.2,0.448
AKDM,09:11:18.030,09:11:17.990,0.2,0.304
AKDM,09:21:31.180,09:21:31.230,0.62,0.178
AKDM,09:21:46.130,09:21:46.080,0.41,0.4
AKDM,09:21:46.130,09:21:46.100,0.41,0.51
AKDM,09:21:46.130,09:21:46.100,0.41,0.565
AKDM,09:21:46.130,09:21:46.130,0.41,0.39
AKDM,09:31:08.480,09:31:08.430,0.42,0.237
AKDM,09:31:08.480,09:31:08.490,0.42,0.12
AKDM,09:31:08.480,09:31:08.490,0.42,0.284
AKDM,09:37:52.290,09:37:52.210,0.19,0.515
AKDM,09:37:52.290,09:37:52.260,0.19,0.453
AKDM,09:37:52.290,09:37:52.270,0.19,0.536
AKDM,09:37:52.290,09:37:52.270,0.19,0.271
AKDM,09:50:11.830,09:50:12.070,0.2,0.113
AKDM,09:55:31.190,09:55:31.320,0.19,0.263
AKDM,09:55:31.190,09:55:31.350,0.19,0.295
AKDM,09:55:31.190,09:55:31.350,0.19,0.325
AKDM,19:17:05.040,19:17:05.070,0.32,0.24
AKDM,19:17:05.040,19:17:05.070,0.32,0.421
AKDM,19:17:05.040,19:17:05.070,0.32,0.45
AKDM,19:17:05.040,19:17:05.070,0.32,0.456
AKDM,19:37:15.720,19:37:15.630,0.25,0.263
AKDM,19:41:29.310,19:41:29.290,0.26,0.107
AKDM,19:41:29.310,19:41:29.290,0.26,0.213
AKDM,19:41:29.310,19:41:29.290,0.26,0.205
AKDM,19:47:39.360,19:47:39.320,0.16,0.221
AKDM,19:47:39.360,19:47:39.330,0.16,0.195
AKDM,19:47:39.360,19:47:39.330,0.16,0.209
AKDM,19:48:28.180,19:48:28.210,0.58,0.167
AKDM,19:52:11.460,19:52:10.990,0.13,0.118
AKDM,19:52:11.460,19:52:11.010,0.13,0.258
AKDM,19:56:05.850,19:56:05.950,0.25,0.496
ANTB,19:24:27.530,19:24:27.490,0.68,0.132
ANTB,19:24:27.530,19:24:27.490,0.68,0.139
APMY,01:04:06.810,01:04:06.890,0.42,0.163
APMY,01:28:36.590,01:28:36.350,0.15,0.194
APMY,01:28:36.590,01:28:36.390,0.15,0.233
APMY,01:28:36.590,01:28:36.430,0.15,0.141
APMY,01:28:36.590,01:28:37.100,0.15,0.17
APMY,01:29:55.060,01:29:55.200,0.15,0.235
APMY,01:29:55.060,01:29:55.230,0.15,0.226
APMY,01:38:02.290,01:38:02.590,0.12,0.262
APMY,01:38:02.290,01:38:02.590,0.12,0.237
APMY,01:38:02.290,01:38:02.590,0.12,0.164
APMY,01:49:04.230,01:49:04.890,0.11,0.329
APMY,01:49:31.680,01:49:31.840,0.16,0.371
APMY,01:52:55.540,01:52:55.730,0.14,0.195
APMY,01:52:55.540,01:52:55.730,0.14,0.202
APMY,01:56:05.590,01:56:05.520,0.24,0.145
APMY,01:56:05.590,01:56:05.530,0.24,0.28
APMY,19:05:38.490,19:05:38.520,0.5,0.257
APMY,19:05:38.490,19:05:38.530,0.5,0.128
APMY,19:23:03.750,19:23:03.790,0.47,0.374
APMY,19:23:03.750,19:23:03.790,0.47,0.508
APMY,19:23:03.750,19:23:03.800,0.47,0.488
APMY,19:23:03.750,19:23:03.800,0.47,0.531
APMY,19:29:18.810,19:29:18.750,0.15,0.25
APMY,19:29:18.810,19:29:18.760,0.15,0.257
APMY,19:29:18.810,19:29:18.800,0.15,0.159
APMY,19:29:18.810,19:29:19.330,0.15,0.143
APMY,19:34:48.960,19:34:49.060,0.48,0.601
APMY,19:34:48.960,19:34:49.060,0.48,0.574
APMY,19:34:48.960,19:34:49.060,0.48,0.587
APMY,19:34:48.960,19:34:49.060,0.48,0.576
APMY,19:46:00.570,19:46:00.750,0.28,0.215
APMY,19:46:00.570,19:46:00.830,0.28,0.186
APMY,19:46:00.570,19:46:00.830,0.28,0.174
APMY,19:46:00.570,19:46:00.830,0.28,0.166
APMY,19:46:49.220,19:46:49.200,0.53,0.487
