station,EQTransformer_pick_time,Kandilli_pick_time,EQTransformer_pick_score
AKDM,05:13:13.470,05:13:13.100,0.55
APMY,18:58:31.770,18:58:31.300,0.38
BLVD,05:29:05.890,05:29:06.100,0.53
BNGB,03:22:21.450,03:22:21.200,0.61
BNGB,07:51:01.650,07:51:01.400,0.55
BNGB,14:11:47.810,14:11:47.600,0.45
BNGB,14:45:30.410,14:45:30.300,0.19
BNGB,21:50:40.070,21:50:39.800,0.53
CEYT,02:37:30.550,02:37:30.500,0.4
CEYT,02:51:14.690,02:51:14.300,0.41
CEYT,02:51:14.750,02:51:14.300,0.34
CEYT,03:03:42.790,03:03:42.900,0.36
CEYT,07:00:34.340,07:00:33.500,0.11
CEYT,07:08:54.390,07:08:54.200,0.21
CEYT,07:10:32.510,07:10:32.900,0.33
CEYT,07:12:47.650,07:12:46.700,0.31
CEYT,07:12:47.700,07:12:46.700,0.4
CEYT,07:24:59.330,07:24:58.500,0.49
CEYT,08:02:12.390,08:02:12.700,0.38
CEYT,08:09:14.090,08:09:13.200,0.18
CEYT,09:01:59.320,09:01:59.400,0.15
CEYT,09:12:16.290,09:12:15.800,0.18
CEYT,14:28:06.820,14:28:06.600,0.5
CEYT,21:03:49.600,21:03:50.100,0.39
CEYT,21:03:49.610,21:03:50.100,0.41
CEYT,21:35:14.820,21:35:14.500,0.22
CEYT,21:35:14.960,21:35:14.500,0.28
CEYT,22:30:23.710,22:30:23.200,0.21
CEYT,23:15:29.930,23:15:29.800,0.16
CEYT,23:15:30.690,23:15:29.800,0.24
CLDR,00:16:18.510,00:16:18.600,0.67
CLDR,15:26:12.520,15:26:12.500,0.31
CLDR,15:26:12.740,15:26:12.500,0.26
DARE,01:24:06.910,01:24:06.500,0.26
DARE,01:24:07.280,01:24:06.500,0.23
DARE,01:27:35.920,01:27:36.600,0.33
DARE,01:27:36.280,01:27:36.600,0.22
DARE,01:34:22.990,01:34:22.900,0.63
DARE,01:46:38.880,01:46:39.200,0.52
DARE,01:46:38.890,01:46:39.200,0.46
DARE,02:04:01.290,02:04:01.900,0.49
DARE,02:04:01.370,02:04:01.900,0.5
DARE,02:26:58.510,02:26:59.000,0.53
DARE,02:29:25.660,02:29:25.500,0.41
DARE,02:32:09.060,02:32:09.700,0.4
DARE,02:32:09.730,02:32:09.700,0.13
DARE,02:39:11.980,02:39:12.800,0.1
DARE,03:08:09.470,03:08:09.000,0.36
DARE,03:10:43.830,03:10:43.800,0.13
DARE,03:16:46.750,03:16:45.800,0.38
DARE,03:17:20.740,03:17:20.900,0.5
DARE,03:23:15.960,03:23:15.300,0.18
DARE,03:43:35.630,03:43:35.300,0.26
DARE,03:46:18.740,03:46:19.200,0.14
DARE,03:56:07.510,03:56:07.300,0.56
DARE,04:04:46.570,04:04:45.700,0.27
DARE,04:31:48.790,04:31:48.300,0.31
DARE,04:56:43.320,04:56:43.100,0.19
DARE,05:02:14.590,05:02:14.300,0.56
DARE,05:17:20.250,05:17:19.900,0.41
DARE,05:20:15.180,05:20:15.800,0.34
DARE,05:26:56.210,05:26:55.400,0.15
DARE,05:31:49.500,05:31:48.600,0.37
DARE,05:42:06.490,05:42:05.800,0.33
DARE,05:47:49.250,05:47:48.800,0.37
DARE,05:49:51.910,05:49:52.400,0.36
DARE,06:02:11.240,06:02:11.700,0.23
DARE,06:24:21.360,06:24:20.400,0.69
DARE,06:28:17.710,06:28:17.800,0.37
DARE,06:30:29.380,06:30:28.600,0.59
DARE,06:32:05.220,06:32:05.800,0.42
DARE,06:32:05.390,06:32:05.800,0.21
DARE,06:34:38.310,06:34:39.100,0.29
DARE,06:40:20.460,06:40:19.600,0.15
DARE,06:48:50.690,06:48:50.900,0.62
DARE,06:52:25.890,06:52:26.300,0.37
DARE,06:52:25.940,06:52:26.300,0.58
DARE,07:03:22.810,07:03:21.900,0.53
DARE,07:04:43.120,07:04:43.400,0.41
DARE,07:12:55.790,07:12:55.900,0.21
DARE,07:19:54.740,07:19:53.800,0.32
DARE,07:24:04.730,07:24:04.600,0.43
DARE,07:24:04.850,07:24:04.600,0.34
DARE,07:26:29.890,07:26:30.100,0.41
DARE,07:27:24.040,07:27:23.900,0.41
DARE,07:31:44.740,07:31:44.000,0.57
DARE,07:31:44.780,07:31:44.000,0.61
DARE,07:48:01.990,07:48:01.800,0.35
DARE,08:29:53.550,08:29:53.300,0.25
DARE,08:38:55.000,08:38:54.300,0.15
DARE,08:38:55.090,08:38:54.300,0.28
DARE,08:45:10.730,08:45:09.900,0.14
DARE,08:53:15.320,08:53:15.000,0.12
DARE,08:59:01.750,08:59:01.700,0.34
DARE,09:06:29.620,09:06:28.700,0.3
DARE,09:21:26.140,09:21:26.200,0.12
DARE,09:54:46.630,09:54:46.100,0.3
DARE,10:08:01.860,10:08:01.700,0.2
DARE,10:12:43.440,10:12:43.500,0.25
DARE,10:36:15.930,10:36:16.000,0.45
DARE,10:39:16.400,10:39:16.700,0.41
DARE,10:39:16.450,10:39:16.700,0.64
DARE,10:51:50.880,10:51:50.500,0.4
DARE,10:56:45.080,10:56:44.900,0.18
DARE,11:11:59.230,11:11:59.300,0.6
DARE,11:31:02.340,11:31:02.500,0.55
DARE,11:31:02.420,11:31:02.500,0.54
DARE,11:35:46.400,11:35:46.100,0.29
DARE,11:43:44.560,11:43:43.900,0.46
