station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
ADVT,04:25:25.680,04:25:25.760,0.57445616,0.286
ADVT,04:25:25.680,04:25:25.770,0.57445616,0.368
ADVT,04:25:25.680,04:25:25.770,0.57445616,0.519
AGRB,09:09:27.260,09:09:26.670,0.696264,0.334
AGRB,09:09:27.260,09:09:26.670,0.696264,0.342
AGRB,09:09:27.260,09:09:26.670,0.696264,0.319
AGRB,09:09:27.260,09:09:26.670,0.696264,0.332
AGRB,09:21:41.030,09:21:41.040,0.83486074,0.487
AGRB,09:21:41.030,09:21:41.040,0.83486074,0.483
AGRB,09:21:41.030,09:21:41.060,0.83486074,0.539
AGRB,09:21:41.030,09:21:41.070,0.83486074,0.112
AGRB,19:16:59.030,19:16:58.800,0.7132852,0.305
AGRB,19:16:59.030,19:16:58.800,0.7132852,0.294
AGRB,19:16:59.030,19:16:58.800,0.7132852,0.322
AGRB,19:16:59.030,19:16:58.800,0.7132852,0.293
AKDM,09:21:46.060,09:21:46.080,0.7188507,0.4
AKDM,09:21:46.060,09:21:46.100,0.7188507,0.51
AKDM,09:21:46.060,09:21:46.100,0.7188507,0.565
AKDM,09:21:46.060,09:21:46.130,0.7188507,0.39
AKDM,19:17:05.060,19:17:05.070,0.56838167,0.24
AKDM,19:17:05.060,19:17:05.070,0.56838167,0.421
AKDM,19:17:05.060,19:17:05.070,0.56838167,0.45
AKDM,19:17:05.060,19:17:05.070,0.56838167,0.456
AKDM,19:48:28.270,19:48:28.210,0.27513844,0.167
AKDM,19:52:11.690,19:52:10.990,0.6128123,0.118
AKDM,19:52:11.690,19:52:11.010,0.6128123,0.258
ANTB,19:29:03.600,19:29:02.610,0.62276006,0.378
ANTB,19:29:03.600,19:29:02.610,0.62276006,0.365
ANTB,19:29:03.600,19:29:02.610,0.62276006,0.385
APMY,19:23:03.830,19:23:03.790,0.85789883,0.374
APMY,19:23:03.830,19:23:03.790,0.85789883,0.508
APMY,19:23:03.830,19:23:03.800,0.85789883,0.488
APMY,19:23:03.830,19:23:03.800,0.85789883,0.531
APMY,19:34:49.080,19:34:49.060,0.8286891,0.601
APMY,19:34:49.080,19:34:49.060,0.8286891,0.574
APMY,19:34:49.080,19:34:49.060,0.8286891,0.587
APMY,19:34:49.080,19:34:49.060,0.8286891,0.576
BAKL,11:42:45.140,11:42:45.140,0.45814943,0.699
BAKL,11:42:45.140,11:42:45.150,0.45814943,0.823
BAKL,11:42:45.140,11:42:45.150,0.45814943,0.818
BAKL,11:42:45.140,11:42:45.150,0.45814943,0.793
BAKL,13:09:10.810,13:09:10.820,0.9167197,0.726
BAKL,13:09:10.810,13:09:10.820,0.9167197,0.7
BAKL,13:09:10.810,13:09:10.830,0.9167197,0.673
BAKL,13:09:10.810,13:09:10.830,0.9167197,0.661
BAKL,13:09:10.810,13:09:10.840,0.9167197,0.51
BAKL,13:40:33.060,13:40:32.970,0.9031126,0.686
BAKL,13:40:33.060,13:40:32.970,0.9031126,0.691
BAKL,13:40:33.060,13:40:32.970,0.9031126,0.689
BAKL,13:40:33.060,13:40:32.970,0.9031126,0.741
BAKL,13:40:33.060,13:40:32.970,0.9031126,0.698
BAYT,09:21:21.630,09:21:22.490,0.5666089,0.107
BAYT,09:21:21.630,09:21:22.520,0.5666089,0.128
BAYT,09:21:21.630,09:21:22.520,0.5666089,0.133
BAYT,09:49:36.070,09:49:36.930,0.56317115,0.133
BAYT,09:49:36.070,09:49:36.960,0.56317115,0.13
BAYT,09:49:36.070,09:49:36.970,0.56317115,0.171
BAYT,09:49:36.070,09:49:36.970,0.56317115,0.184
BLCB,09:24:28.040,09:24:28.020,0.7326419,0.846
BLCB,09:24:28.040,09:24:28.020,0.7326419,0.84
BLCB,09:24:28.040,09:24:28.030,0.7326419,0.841
BLCB,09:24:28.040,09:24:28.030,0.7326419,0.841
BLCB,09:24:28.040,09:24:28.030,0.7326419,0.721
BNGB,09:02:17.430,09:02:17.420,0.84245217,0.598
BNGB,09:02:17.430,09:02:17.450,0.84245217,0.581
BNGB,09:02:17.430,09:02:17.450,0.84245217,0.581
BNGB,09:02:17.430,09:02:17.450,0.84245217,0.565
BNGB,09:02:40.340,09:02:40.440,0.44722262,0.228
BNGB,09:10:31.920,09:10:31.920,0.79765546,0.541
BNGB,09:10:31.920,09:10:31.920,0.79765546,0.543
BNGB,09:10:31.920,09:10:31.920,0.79765546,0.565
BNGB,09:10:31.920,09:10:32.000,0.79765546,0.266
BNGB,09:11:42.460,09:11:42.430,0.4159073,0.349
BNGB,09:11:42.460,09:11:42.430,0.4159073,0.305
BNGB,09:11:42.460,09:11:42.460,0.4159073,0.299
BNGB,09:15:21.690,09:15:21.690,0.43537942,0.218
BNGB,09:15:21.690,09:15:21.690,0.43537942,0.14
BNGB,09:15:21.690,09:15:21.730,0.43537942,0.275
BNGB,09:21:47.020,09:21:46.990,0.76546603,0.254
BNGB,09:21:47.020,09:21:46.990,0.76546603,0.266
BNGB,09:21:47.020,09:21:47.050,0.76546603,0.336
BNGB,09:28:39.240,09:28:39.200,0.8830562,0.488
BNGB,09:28:39.240,09:28:39.230,0.8830562,0.451
BNGB,09:28:39.240,09:28:39.230,0.8830562,0.475
BNGB,09:28:39.240,09:28:39.230,0.8830562,0.503
BNGB,09:30:13.690,09:30:13.690,0.2947791,0.348
BNGB,09:30:21.690,09:30:21.670,0.77241856,0.447
BNGB,09:30:21.690,09:30:21.670,0.77241856,0.644
BNGB,09:30:44.950,09:30:45.070,0.49737033,0.409
BNGB,09:31:26.460,09:31:26.400,0.64918536,0.159
BNGB,09:33:57.640,09:33:57.600,0.59343576,0.409
BNGB,09:33:57.640,09:33:57.600,0.59343576,0.366
BNGB,09:33:57.640,09:33:57.620,0.59343576,0.225
BNGB,09:33:57.640,09:33:57.630,0.59343576,0.156
BNGB,09:36:43.460,09:36:43.500,0.74254143,0.637
BNGB,09:36:43.460,09:36:43.510,0.74254143,0.629
BNGB,09:44:11.520,09:44:11.470,0.8562671,0.356
BNGB,09:44:11.520,09:44:11.520,0.8562671,0.487
BNGB,09:47:22.220,09:47:22.170,0.45927888,0.333
BNGB,09:47:22.220,09:47:22.170,0.45927888,0.379
BNGB,09:47:22.220,09:47:22.180,0.45927888,0.136
BNGB,09:47:22.220,09:47:22.190,0.45927888,0.422
BNGB,09:49:14.120,09:49:14.090,0.64214885,0.129
BNGB,09:49:14.120,09:49:14.090,0.64214885,0.371
BNGB,09:49:14.120,09:49:14.090,0.64214885,0.342
BNGB,09:49:14.120,09:49:14.090,0.64214885,0.373
BNGB,09:49:14.120,09:49:14.100,0.64214885,0.396
BNGB,09:51:17.160,09:51:17.070,0.6292829,0.145
BNGB,09:51:17.160,09:51:17.120,0.6292829,0.279
BNGB,09:51:17.160,09:51:17.120,0.6292829,0.358
BNGB,09:51:17.160,09:51:17.120,0.6292829,0.354
BNGB,09:51:17.160,09:51:17.150,0.6292829,0.352
BNGB,09:54:39.950,09:54:39.890,0.73961854,0.37
BNGB,09:54:39.950,09:54:39.920,0.73961854,0.626
BNGB,09:54:39.950,09:54:39.920,0.73961854,0.582
BNGB,09:57:17.180,09:57:17.230,0.40568382,0.676
BNGB,09:57:17.180,09:57:17.230,0.40568382,0.379
BNGB,09:57:35.640,09:57:35.630,0.38783002,0.319
BNGB,09:57:35.640,09:57:35.630,0.38783002,0.308
BNGB,09:58:18.330,09:58:18.320,0.7545676,0.331
BNGB,09:58:18.330,09:58:18.320,0.7545676,0.406
BNGB,09:58:18.330,09:58:18.320,0.7545676,0.407
BNGB,09:58:18.330,09:58:18.320,0.7545676,0.335
BNGB,09:58:44.030,09:58:44.030,0.4213036,0.671
BNGB,09:58:44.030,09:58:44.030,0.4213036,0.748
BNN ,09:04:28.520,09:04:28.570,0.43860516,0.127
BNN ,09:04:28.520,09:04:28.570,0.43860516,0.536
BNN ,09:04:28.520,09:04:28.570,0.43860516,0.427
BNN ,09:04:28.520,09:04:28.590,0.43860516,0.426
BNN ,09:05:28.550,09:05:28.530,0.34891227,0.141
BNN ,09:06:15.090,09:06:14.990,0.4656237,0.491
BNN ,09:06:15.090,09:06:15.070,0.4656237,0.428
BNN ,09:06:15.090,09:06:15.110,0.4656237,0.398
BNN ,09:06:46.760,09:06:46.770,0.6568398,0.306
BNN ,09:06:46.760,09:06:46.790,0.6568398,0.191
BNN ,09:06:46.760,09:06:46.790,0.6568398,0.137
BNN ,09:06:46.760,09:06:46.800,0.6568398,0.271
BNN ,09:09:18.890,09:09:18.830,0.43241274,0.318
BNN ,09:09:42.300,09:09:42.370,0.3354784,0.275
BNN ,09:11:15.420,09:11:15.470,0.7690768,0.383
BNN ,09:11:15.420,09:11:15.470,0.7690768,0.209
BNN ,09:11:15.420,09:11:15.470,0.7690768,0.404
BNN ,09:11:15.420,09:11:15.470,0.7690768,0.56
BNN ,09:12:37.900,09:12:38.150,0.6835758,0.581
BNN ,09:12:37.900,09:12:38.170,0.6835758,0.598
BNN ,09:13:24.950,09:13:24.930,0.79801905,0.221
BNN ,09:21:38.410,09:21:38.430,0.55906844,0.412
BNN ,09:21:38.410,09:21:38.430,0.55906844,0.609
BNN ,09:22:06.780,09:22:06.500,0.3070712,0.382
BNN ,09:22:06.780,09:22:06.520,0.3070712,0.358
BNN ,09:22:06.780,09:22:06.530,0.3070712,0.615
BNN ,09:24:48.480,09:24:48.430,0.71606416,0.377
BNN ,09:24:48.480,09:24:48.450,0.71606416,0.773
BNN ,09:24:48.480,09:24:48.450,0.71606416,0.14
BNN ,09:24:48.480,09:24:48.460,0.71606416,0.762
BNN ,09:26:56.450,09:26:55.790,0.2982901,0.208
BNN ,09:31:12.930,09:31:12.970,0.4534558,0.187
BNN ,09:31:12.930,09:31:12.970,0.4534558,0.278
BNN ,09:31:12.930,09:31:12.970,0.4534558,0.276
BNN ,09:31:12.930,09:31:12.970,0.4534558,0.267
BNN ,09:32:30.750,09:32:30.710,0.6867734,0.252
BNN ,09:32:30.750,09:32:30.720,0.6867734,0.407
