station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
ADVT,04:25:25.650,04:25:25.720,0.28,0.57445616,0.286
ADVT,04:25:25.650,04:25:25.725,0.28,0.57445616,0.368
ADVT,04:25:25.650,04:25:25.725,0.28,0.57445616,0.519
ADVT,04:25:25.830,04:25:25.720,0.33,0.57445616,0.286
ADVT,04:25:25.830,04:25:25.725,0.33,0.57445616,0.368
ADVT,04:25:25.830,04:25:25.725,0.33,0.57445616,0.519
AGRB,09:09:26.940,09:09:26.965,0.29,0.696264,0.334
AGRB,09:09:26.940,09:09:26.965,0.29,0.696264,0.342
AGRB,09:09:26.940,09:09:26.965,0.29,0.696264,0.319
AGRB,09:09:26.940,09:09:26.965,0.29,0.696264,0.332
AKDM,09:21:46.130,09:21:46.070,0.41,0.7188507,0.4
AKDM,09:21:46.130,09:21:46.080,0.41,0.7188507,0.51
AKDM,09:21:46.130,09:21:46.080,0.41,0.7188507,0.565
AKDM,09:21:46.130,09:21:46.095,0.41,0.7188507,0.39
AKDM,19:17:05.040,19:17:05.065,0.32,0.56838167,0.24
AKDM,19:17:05.040,19:17:05.065,0.32,0.56838167,0.421
AKDM,19:17:05.040,19:17:05.065,0.32,0.56838167,0.45
AKDM,19:17:05.040,19:17:05.065,0.32,0.56838167,0.456
AKDM,19:48:28.180,19:48:28.240,0.58,0.27513844,0.167
AKDM,19:52:11.460,19:52:11.340,0.13,0.6128123,0.118
AKDM,19:52:11.460,19:52:11.350,0.13,0.6128123,0.258
ANTB,19:29:03.720,19:29:03.105,0.14,0.62276006,0.378
ANTB,19:29:03.720,19:29:03.105,0.14,0.62276006,0.365
ANTB,19:29:03.720,19:29:03.105,0.14,0.62276006,0.385
APMY,19:23:03.750,19:23:03.810,0.47,0.85789883,0.374
APMY,19:23:03.750,19:23:03.810,0.47,0.85789883,0.508
APMY,19:23:03.750,19:23:03.815,0.47,0.85789883,0.488
APMY,19:23:03.750,19:23:03.815,0.47,0.85789883,0.531
APMY,19:34:48.960,19:34:49.070,0.48,0.8286891,0.601
APMY,19:34:48.960,19:34:49.070,0.48,0.8286891,0.574
APMY,19:34:48.960,19:34:49.070,0.48,0.8286891,0.587
APMY,19:34:48.960,19:34:49.070,0.48,0.8286891,0.576
BLCB,09:24:28.050,09:24:28.030,0.64,0.7326419,0.846
BLCB,09:24:28.050,09:24:28.030,0.64,0.7326419,0.84
BLCB,09:24:28.050,09:24:28.035,0.64,0.7326419,0.841
BLCB,09:24:28.050,09:24:28.035,0.64,0.7326419,0.841
BLCB,09:24:28.050,09:24:28.035,0.64,0.7326419,0.721
BNGB,09:02:17.420,09:02:17.425,0.68,0.84245217,0.598
BNGB,09:02:17.420,09:02:17.440,0.68,0.84245217,0.581
BNGB,09:02:17.420,09:02:17.440,0.68,0.84245217,0.581
BNGB,09:02:17.420,09:02:17.440,0.68,0.84245217,0.565
BNGB,09:02:40.320,09:02:40.390,0.58,0.44722262,0.228
BNGB,09:02:40.360,09:02:40.390,0.67,0.44722262,0.228
BNGB,09:10:31.950,09:10:31.920,0.49,0.79765546,0.541
BNGB,09:10:31.950,09:10:31.920,0.49,0.79765546,0.543
BNGB,09:10:31.950,09:10:31.920,0.49,0.79765546,0.565
BNGB,09:10:31.950,09:10:31.960,0.49,0.79765546,0.266
BNGB,09:11:42.450,09:11:42.445,0.71,0.4159073,0.349
BNGB,09:11:42.450,09:11:42.445,0.71,0.4159073,0.305
BNGB,09:11:42.450,09:11:42.460,0.71,0.4159073,0.299
BNGB,09:28:39.180,09:28:39.220,0.68,0.8830562,0.488
BNGB,09:28:39.180,09:28:39.235,0.68,0.8830562,0.451
BNGB,09:28:39.180,09:28:39.235,0.68,0.8830562,0.475
BNGB,09:28:39.180,09:28:39.235,0.68,0.8830562,0.503
BNGB,09:30:21.650,09:30:21.680,0.57,0.77241856,0.447
BNGB,09:30:21.650,09:30:21.680,0.57,0.77241856,0.644
BNGB,09:30:44.970,09:30:45.010,0.47,0.49737033,0.409
BNGB,09:31:26.530,09:31:26.430,0.41,0.64918536,0.159
BNGB,09:33:57.490,09:33:57.620,0.36,0.59343576,0.409
BNGB,09:33:57.490,09:33:57.620,0.36,0.59343576,0.366
BNGB,09:33:57.490,09:33:57.630,0.36,0.59343576,0.225
BNGB,09:33:57.490,09:33:57.635,0.36,0.59343576,0.156
BNGB,09:49:14.100,09:49:14.105,0.51,0.64214885,0.129
BNGB,09:49:14.100,09:49:14.105,0.51,0.64214885,0.371
BNGB,09:49:14.100,09:49:14.105,0.51,0.64214885,0.342
BNGB,09:49:14.100,09:49:14.105,0.51,0.64214885,0.373
BNGB,09:49:14.100,09:49:14.110,0.51,0.64214885,0.396
BNGB,09:51:17.100,09:51:17.115,0.39,0.6292829,0.145
BNGB,09:51:17.100,09:51:17.140,0.39,0.6292829,0.279
BNGB,09:51:17.100,09:51:17.140,0.39,0.6292829,0.358
BNGB,09:51:17.100,09:51:17.140,0.39,0.6292829,0.354
BNGB,09:51:17.100,09:51:17.155,0.39,0.6292829,0.352
BNGB,09:54:39.970,09:54:39.920,0.39,0.73961854,0.37
BNGB,09:54:39.970,09:54:39.935,0.39,0.73961854,0.626
BNGB,09:54:39.970,09:54:39.935,0.39,0.73961854,0.582
BNGB,09:57:17.250,09:57:17.205,0.75,0.40568382,0.676
BNGB,09:57:17.250,09:57:17.205,0.75,0.40568382,0.379
BNGB,09:57:35.560,09:57:35.635,0.45,0.38783002,0.319
BNGB,09:57:35.560,09:57:35.635,0.45,0.38783002,0.308
BNGB,09:58:18.300,09:58:18.325,0.52,0.7545676,0.331
BNGB,09:58:18.300,09:58:18.325,0.52,0.7545676,0.406
BNGB,09:58:18.300,09:58:18.325,0.52,0.7545676,0.407
BNGB,09:58:18.300,09:58:18.325,0.52,0.7545676,0.335
BNGB,09:58:43.960,09:58:44.030,0.67,0.4213036,0.671
BNGB,09:58:43.960,09:58:44.030,0.67,0.4213036,0.748
BNN ,09:05:29.060,09:05:28.540,0.17,0.34891227,0.141
BNN ,09:06:15.140,09:06:15.040,0.26,0.4656237,0.491
BNN ,09:06:15.140,09:06:15.080,0.26,0.4656237,0.428
BNN ,09:06:15.140,09:06:15.100,0.26,0.4656237,0.398
BNN ,09:06:46.810,09:06:46.765,0.24,0.6568398,0.306
BNN ,09:06:46.810,09:06:46.775,0.24,0.6568398,0.191
BNN ,09:06:46.810,09:06:46.775,0.24,0.6568398,0.137
BNN ,09:06:46.810,09:06:46.780,0.24,0.6568398,0.271
BNN ,09:06:47.150,09:06:46.765,0.45,0.6568398,0.306
BNN ,09:06:47.150,09:06:46.775,0.45,0.6568398,0.191
BNN ,09:06:47.150,09:06:46.775,0.45,0.6568398,0.137
BNN ,09:06:47.150,09:06:46.780,0.45,0.6568398,0.271
BNN ,09:09:18.810,09:09:18.860,0.39,0.43241274,0.318
BNN ,09:11:15.440,09:11:15.445,0.4,0.7690768,0.383
BNN ,09:11:15.440,09:11:15.445,0.4,0.7690768,0.209
BNN ,09:11:15.440,09:11:15.445,0.4,0.7690768,0.404
BNN ,09:11:15.440,09:11:15.445,0.4,0.7690768,0.56
BNN ,09:13:25.030,09:13:24.940,0.4,0.79801905,0.221
BNN ,09:21:38.330,09:21:38.420,0.34,0.55906844,0.412
BNN ,09:21:38.330,09:21:38.420,0.34,0.55906844,0.609
BNN ,09:22:06.720,09:22:06.640,0.19,0.3070712,0.382
BNN ,09:22:06.720,09:22:06.650,0.19,0.3070712,0.358
BNN ,09:22:06.720,09:22:06.655,0.19,0.3070712,0.615
BNN ,09:24:48.390,09:24:48.455,0.33,0.71606416,0.377
BNN ,09:24:48.390,09:24:48.465,0.33,0.71606416,0.773
BNN ,09:24:48.390,09:24:48.465,0.33,0.71606416,0.14
BNN ,09:24:48.390,09:24:48.470,0.33,0.71606416,0.762
BNN ,09:26:55.790,09:26:56.120,0.34,0.2982901,0.208
BNN ,09:31:12.920,09:31:12.950,0.2,0.4534558,0.187
BNN ,09:31:12.920,09:31:12.950,0.2,0.4534558,0.278
BNN ,09:31:12.920,09:31:12.950,0.2,0.4534558,0.276
BNN ,09:31:12.920,09:31:12.950,0.2,0.4534558,0.267
BNN ,09:32:30.730,09:32:30.730,0.54,0.6867734,0.252
BNN ,09:32:30.730,09:32:30.735,0.54,0.6867734,0.407
BNN ,09:32:30.730,09:32:30.735,0.54,0.6867734,0.441
BNN ,09:32:30.730,09:32:30.735,0.54,0.6867734,0.47
BNN ,09:32:30.730,09:32:30.735,0.54,0.6867734,0.402
BNN ,09:36:05.980,09:36:06.050,0.29,0.6148193,0.251
BNN ,09:36:05.980,09:36:06.050,0.29,0.6148193,0.251
BNN ,09:37:12.810,09:37:12.945,0.12,0.7029617,0.309
BNN ,09:37:12.810,09:37:12.950,0.12,0.7029617,0.427
BNN ,09:37:12.810,09:37:12.960,0.12,0.7029617,0.299
BNN ,09:37:12.810,09:37:12.965,0.12,0.7029617,0.196
BNN ,09:39:35.980,09:39:35.815,0.36,0.47911853,0.398
BNN ,09:39:35.980,09:39:35.815,0.36,0.47911853,0.503
BNN ,09:39:35.980,09:39:35.825,0.36,0.47911853,0.242
BNN ,09:42:33.160,09:42:33.060,0.52,0.6266715,0.297
BNN ,09:42:33.160,09:42:33.060,0.52,0.6266715,0.234
BNN ,09:42:33.160,09:42:33.075,0.52,0.6266715,0.272
BNN ,09:54:03.930,09:54:03.320,0.24,0.49909014,0.19
