station,Kandilli_pick_time,Phasenet-EQCCT-EQTransformer_Average_pick_time,Phasenet_score,EQCCT_score,EQTransformer_score
CEYT,09:12:15.800,09:12:16.587,0.34773117,0.293,0.18
CEYT,09:12:15.800,09:12:16.587,0.34773117,0.296,0.18
DARE,09:06:28.700,09:06:29.555,0.59518397,0.206,0.3
DARE,09:06:28.700,09:06:29.557,0.59518397,0.217,0.3
DARE,09:06:28.700,09:06:29.567,0.59518397,0.195,0.3
DARE,09:06:28.700,09:06:29.570,0.59518397,0.184,0.3
DARE,09:21:26.200,09:21:26.167,0.4428562,0.256,0.12
DARE,09:21:26.200,09:21:26.167,0.4428562,0.287,0.12
DARE,09:21:26.200,09:21:26.180,0.4428562,0.266,0.12
GULA,16:44:25.300,16:44:26.235,0.46716523,0.111,0.23
GULA,16:44:25.300,16:44:26.235,0.46716523,0.533,0.23
GULA,16:44:25.300,16:44:26.235,0.46716523,0.515,0.23
KARO,03:18:48.800,03:18:48.757,0.9351173,0.803,0.78
KARO,03:18:48.800,03:18:48.757,0.9351173,0.792,0.78
KARO,03:18:48.800,03:18:48.757,0.9351173,0.779,0.78
KARO,03:18:48.800,03:18:48.757,0.9351173,0.813,0.78
KARO,03:33:42.100,03:33:42.080,0.9364145,0.552,0.64
KARO,03:33:42.100,03:33:42.085,0.9364145,0.661,0.64
KARO,03:33:42.100,03:33:42.085,0.9364145,0.655,0.64
KARO,03:33:42.100,03:33:42.085,0.9364145,0.716,0.64
KARO,03:33:42.100,03:33:42.087,0.9364145,0.509,0.64
KMRS,09:12:35.400,09:12:35.542,0.9556619,0.614,0.76
KMRS,09:12:35.400,09:12:35.542,0.9556619,0.591,0.76
KMRS,09:12:35.400,09:12:35.542,0.9556619,0.544,0.76
KMRS,09:12:35.400,09:12:35.542,0.9556619,0.585,0.76
KOZT,09:05:47.200,09:05:46.380,0.6247055,0.395,0.24
KOZT,09:05:47.200,09:05:46.380,0.6247055,0.376,0.24
KOZT,09:05:47.200,09:05:46.385,0.6247055,0.448,0.24
KOZT,09:06:24.900,09:06:25.612,0.7232145,0.145,0.1
KOZT,09:06:24.900,09:06:25.622,0.7232145,0.345,0.1
KOZT,09:06:24.900,09:06:25.627,0.7232145,0.294,0.1
KOZT,09:06:24.900,09:06:25.627,0.7232145,0.34,0.1
KOZT,09:10:48.100,09:10:48.377,0.50242144,0.426,0.36
KOZT,09:10:48.100,09:10:48.377,0.50242144,0.416,0.36
KOZT,09:10:48.100,09:10:48.380,0.50242144,0.485,0.36
KOZT,09:10:48.100,09:10:48.385,0.50242144,0.406,0.36
KOZT,09:10:48.100,09:10:48.447,0.50242144,0.426,0.41
KOZT,09:10:48.100,09:10:48.447,0.50242144,0.416,0.41
KOZT,09:10:48.100,09:10:48.450,0.50242144,0.485,0.41
KOZT,09:10:48.100,09:10:48.455,0.50242144,0.406,0.41
KOZT,09:12:11.800,09:12:12.147,0.37328884,0.27,0.19
KOZT,09:12:11.800,09:12:12.160,0.37328884,0.103,0.19
KOZT,09:34:50.900,09:34:50.125,0.37270766,0.295,0.25
KOZT,09:34:50.900,09:34:50.125,0.37270766,0.289,0.25
KOZT,09:34:50.900,09:34:50.125,0.37270766,0.22,0.25
KOZT,09:34:50.900,09:34:50.125,0.37270766,0.435,0.25
KOZT,09:36:43.700,09:36:44.585,0.5430729,0.285,0.21
KOZT,09:36:43.700,09:36:44.585,0.5430729,0.334,0.21
KOZT,09:36:43.700,09:36:44.585,0.5430729,0.169,0.21
SARI,09:02:30.400,09:02:30.430,0.6616879,0.34,0.27
SARI,09:02:30.400,09:02:30.442,0.6616879,0.184,0.27
SARI,09:02:30.400,09:02:30.447,0.6616879,0.483,0.27
SARI,09:02:30.400,09:02:30.447,0.6616879,0.292,0.27
SARI,09:04:11.500,09:04:12.455,0.76337284,0.419,0.33
SARI,09:04:11.500,09:04:12.457,0.76337284,0.248,0.33
SARI,09:04:11.500,09:04:12.457,0.76337284,0.553,0.33
SARI,09:04:11.500,09:04:12.465,0.76337284,0.481,0.33
SARI,09:05:57.900,09:05:57.540,0.7008174,0.392,0.51
SARI,09:05:57.900,09:05:57.540,0.7008174,0.383,0.51
SARI,09:05:57.900,09:05:57.547,0.7008174,0.604,0.51
SARI,09:12:21.900,09:12:21.560,0.5040441,0.356,0.26
SARI,09:12:21.900,09:12:21.560,0.5040441,0.365,0.26
SARI,09:12:21.900,09:12:21.925,0.5040441,0.356,0.37
SARI,09:12:21.900,09:12:21.925,0.5040441,0.365,0.37
SARI,09:21:48.700,09:21:48.055,0.86494964,0.405,0.44
SARI,09:21:48.700,09:21:48.057,0.86494964,0.59,0.44
SARI,09:21:48.700,09:21:48.062,0.86494964,0.694,0.44
SARI,09:21:48.700,09:21:48.062,0.86494964,0.618,0.44
SARI,09:58:03.000,09:58:03.027,0.7326327,0.156,0.36
SARI,09:58:03.000,09:58:03.030,0.7326327,0.527,0.36
SARI,09:58:03.000,09:58:03.030,0.7326327,0.522,0.36
SARI,09:58:03.000,09:58:03.032,0.7326327,0.315,0.36
SARI,09:58:03.000,09:58:03.047,0.7326327,0.156,0.22
SARI,09:58:03.000,09:58:03.050,0.7326327,0.527,0.22
SARI,09:58:03.000,09:58:03.050,0.7326327,0.522,0.22
SARI,09:58:03.000,09:58:03.052,0.7326327,0.315,0.22
SAUV,09:53:22.800,09:53:23.407,0.75603104,0.518,0.52
SAUV,09:53:22.800,09:53:23.407,0.75603104,0.277,0.52
SAUV,09:53:22.800,09:53:23.412,0.75603104,0.629,0.52
SAUV,09:53:22.800,09:53:23.412,0.75603104,0.576,0.52
URFA,14:03:45.800,14:03:45.015,0.7121287,0.329,0.3
URFA,14:03:45.800,14:03:45.015,0.7121287,0.374,0.3
URFA,14:03:45.800,14:03:45.022,0.7121287,0.142,0.3
URFA,14:03:45.800,14:03:45.022,0.7121287,0.245,0.3
URFA,14:25:33.900,14:25:34.037,0.7844291,0.429,0.52
URFA,14:25:33.900,14:25:34.037,0.7844291,0.52,0.52
URFA,14:25:33.900,14:25:34.040,0.7844291,0.393,0.52
URFA,14:25:33.900,14:25:34.050,0.7844291,0.171,0.52
URFA,14:33:39.900,14:33:40.002,0.50652766,0.35,0.29
URFA,14:33:39.900,14:33:40.002,0.50652766,0.364,0.29
URFA,14:33:39.900,14:33:40.002,0.50652766,0.312,0.29
URFA,14:51:40.300,14:51:39.642,0.8169855,0.185,0.49
URFA,14:51:40.300,14:51:39.657,0.8169855,0.416,0.49
URFA,14:51:40.300,14:51:39.657,0.8169855,0.421,0.49
YAYX,14:45:38.100,14:45:38.875,0.7813078,0.379,0.45
YAYX,14:45:38.100,14:45:38.875,0.7813078,0.347,0.45
YAYX,14:45:38.100,14:45:38.875,0.7813078,0.367,0.45
