station,Phasenet-EQCCT_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQCCT_score
CEYT,09:34:55.200,09:34:54.875,0.31697127,0.157
CEYT,09:34:55.200,09:34:54.875,0.31697127,0.193
CEYT,09:34:55.200,09:34:54.890,0.31697127,0.2
CEYT,09:34:55.200,09:34:55.440,0.27586323,0.157
CEYT,09:34:55.200,09:34:55.440,0.27586323,0.193
CEYT,09:34:55.200,09:34:55.455,0.27586323,0.2
CEYT,09:34:55.200,09:34:55.675,0.27586323,0.21
CEYT,09:34:55.200,09:34:55.685,0.27586323,0.209
DARE,09:06:28.700,09:06:29.490,0.59518397,0.206
DARE,09:06:28.700,09:06:29.495,0.59518397,0.217
DARE,09:06:28.700,09:06:29.515,0.59518397,0.195
DARE,09:06:28.700,09:06:29.520,0.59518397,0.184
DARE,09:21:26.200,09:21:26.195,0.4428562,0.256
DARE,09:21:26.200,09:21:26.195,0.4428562,0.287
DARE,09:21:26.200,09:21:26.220,0.4428562,0.266
GULA,09:32:46.100,09:32:45.405,0.7743803,0.311
GULA,09:32:46.100,09:32:45.450,0.7743803,0.422
GULA,09:32:46.100,09:32:45.455,0.7743803,0.436
GULA,09:32:46.100,09:32:45.455,0.7743803,0.503
KARO,03:18:48.800,03:18:48.765,0.9351173,0.803
KARO,03:18:48.800,03:18:48.765,0.9351173,0.792
KARO,03:18:48.800,03:18:48.765,0.9351173,0.779
KARO,03:18:48.800,03:18:48.765,0.9351173,0.813
KARO,03:33:42.100,03:33:42.070,0.9364145,0.552
KARO,03:33:42.100,03:33:42.080,0.9364145,0.661
KARO,03:33:42.100,03:33:42.080,0.9364145,0.655
KARO,03:33:42.100,03:33:42.080,0.9364145,0.716
KARO,03:33:42.100,03:33:42.085,0.9364145,0.509
KARS,00:16:32.500,00:16:31.735,0.74011654,0.116
KARS,00:16:32.500,00:16:31.755,0.74011654,0.144
KARS,00:16:32.500,00:16:31.755,0.74011654,0.46
KARS,00:16:32.500,00:16:31.755,0.74011654,0.471
KMRS,09:02:06.300,09:02:06.750,0.81427026,0.419
KMRS,09:02:06.300,09:02:06.765,0.81427026,0.509
KMRS,09:02:06.300,09:02:06.765,0.81427026,0.487
KMRS,09:02:06.300,09:02:06.765,0.81427026,0.524
KMRS,09:02:06.300,09:02:06.790,0.81427026,0.189
KMRS,09:12:35.400,09:12:35.535,0.9556619,0.614
KMRS,09:12:35.400,09:12:35.535,0.9556619,0.591
KMRS,09:12:35.400,09:12:35.535,0.9556619,0.544
KMRS,09:12:35.400,09:12:35.535,0.9556619,0.585
KMRS,09:34:24.900,09:34:24.715,0.94742167,0.452
KMRS,09:34:24.900,09:34:24.730,0.94742167,0.468
KMRS,09:34:24.900,09:34:24.730,0.94742167,0.461
