station,Phasenet_pick_time,EQTransformer_pick_time,Phasenet_pick_score,QTransformer_pick_score
ADVT,00:32:26.980,00:32:27.190,0.36068335,0.16
ADVT,04:25:25.680,04:25:25.650,0.57445616,0.28
ADVT,04:25:25.680,04:25:25.830,0.57445616,0.33
ADVT,08:46:54.840,08:46:54.870,0.67646325,0.54
ADVT,08:46:54.840,08:46:55.070,0.67646325,0.38
ADVT,09:01:39.250,09:01:39.410,0.273107,0.11
ADVT,09:57:46.840,09:57:46.800,0.34316954,0.34
ADVT,13:18:45.600,13:18:45.560,0.54775876,0.31
ADVT,14:04:07.840,14:04:07.570,0.3905131,0.32
ADVT,15:27:58.700,15:27:58.620,0.7326102,0.27
ADVT,17:06:25.050,17:06:25.090,0.3878193,0.4
ADVT,17:12:04.110,17:12:04.150,0.50170976,0.74
ADVT,18:31:26.880,18:31:26.500,0.5422503,0.58
ADVT,23:16:59.230,23:16:59.160,0.8010278,0.67
ADVT,23:16:59.230,23:16:59.370,0.8010278,0.65
AFSR,10:05:52.000,10:05:51.970,0.29831576,0.6
AFSR,10:18:53.120,10:18:53.130,0.9729272,0.77
AFSR,14:45:19.320,14:45:19.340,0.983263,0.86
AFSR,17:12:42.690,17:12:42.650,0.7857367,0.39
AFSR,17:12:42.690,17:12:42.680,0.7857367,0.49
AGRB,05:13:46.480,05:13:46.430,0.52661735,0.49
AGRB,09:09:27.260,09:09:26.940,0.696264,0.29
AGRB,14:00:37.190,14:00:37.110,0.7012254,0.66
AKDM,00:16:15.820,00:16:16.090,0.4181217,0.17
AKDM,00:16:15.820,00:16:16.520,0.4181217,0.21
AKDM,00:17:29.220,00:17:28.660,0.5583445,0.14
AKDM,04:04:47.460,04:04:47.500,0.56869894,0.28
AKDM,04:16:09.450,04:16:09.330,0.36155242,0.29
AKDM,04:54:54.490,04:54:54.460,0.52581984,0.22
AKDM,05:11:18.480,05:11:18.450,0.564083,0.24
AKDM,05:13:13.450,05:13:13.470,0.7942582,0.55
AKDM,05:24:46.590,05:24:46.550,0.53129685,0.35
AKDM,05:33:20.840,05:33:20.310,0.62118804,0.17
AKDM,05:33:20.840,05:33:20.410,0.62118804,0.27
AKDM,06:32:25.940,06:32:25.850,0.80531824,0.45
AKDM,06:35:29.550,06:35:29.410,0.83049077,0.39
AKDM,06:39:42.600,06:39:42.600,0.5619972,0.48
AKDM,06:51:01.850,06:51:01.840,0.43988672,0.31
AKDM,06:51:41.600,06:51:41.620,0.6478299,0.28
AKDM,06:51:41.600,06:51:41.640,0.6478299,0.59
AKDM,06:55:35.030,06:55:34.820,0.27359277,0.18
AKDM,06:56:22.860,06:56:22.700,0.309143,0.14
AKDM,07:20:43.320,07:20:43.980,0.40300623,0.11
