station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
AKDM,05:13:13.100,05:13:13.460,0.7942582,0.55
BLVD,05:29:06.100,05:29:05.915,0.741193,0.53
BNGB,03:22:21.200,03:22:21.455,0.66550654,0.61
BNGB,07:51:01.400,07:51:01.640,0.8527457,0.55
BNGB,14:11:47.600,14:11:47.795,0.62636113,0.45
BNGB,14:45:30.300,14:45:30.620,0.5785658,0.19
BNGB,21:50:39.800,21:50:40.095,0.75108,0.53
CEYT,02:23:47.700,02:23:48.640,0.5318893,0.45
CEYT,02:37:30.500,02:37:30.505,0.59491944,0.4
CEYT,02:51:14.300,02:51:14.775,0.5780941,0.41
CEYT,02:51:14.300,02:51:14.805,0.5780941,0.34
CEYT,03:03:42.900,03:03:42.775,0.62034714,0.36
CEYT,07:00:33.500,07:00:34.115,0.42451102,0.11
CEYT,07:08:54.200,07:08:54.410,0.5971985,0.21
CEYT,07:10:32.900,07:10:32.510,0.57515585,0.33
CEYT,07:12:46.700,07:12:47.555,0.68432736,0.31
CEYT,07:12:46.700,07:12:47.580,0.68432736,0.4
CEYT,07:24:58.500,07:24:59.335,0.8148672,0.49
CEYT,08:02:12.700,08:02:12.545,0.48927042,0.38
CEYT,09:12:15.800,09:12:16.770,0.34773117,0.18
CEYT,14:28:06.600,14:28:06.750,0.63255024,0.5
CEYT,21:03:50.100,21:03:49.600,0.61479175,0.39
CEYT,21:03:50.100,21:03:49.605,0.61479175,0.41
CEYT,21:35:14.500,21:35:14.880,0.6551179,0.22
CEYT,21:35:14.500,21:35:14.950,0.6551179,0.28
CEYT,22:30:23.200,22:30:23.545,0.4198549,0.21
CEYT,23:15:29.800,23:15:30.220,0.49650925,0.16
CEYT,23:15:29.800,23:15:30.600,0.49650925,0.24
CLDR,00:16:18.600,00:16:18.525,0.8613101,0.67
CLDR,15:26:12.500,15:26:12.625,0.5680569,0.31
CLDR,15:26:12.500,15:26:12.735,0.5680569,0.26
DARE,01:27:36.600,01:27:36.130,0.37151587,0.33
DARE,01:27:36.600,01:27:36.310,0.37151587,0.22
DARE,01:34:22.900,01:34:22.995,0.8607662,0.63
DARE,02:04:01.900,02:04:01.270,0.788845,0.49
DARE,02:04:01.900,02:04:01.310,0.788845,0.5
DARE,02:26:59.000,02:26:58.495,0.75408906,0.53
DARE,02:32:09.700,02:32:09.525,0.40267617,0.4
DARE,02:32:09.700,02:32:09.860,0.40267617,0.13
DARE,02:34:52.700,02:34:53.470,0.3295936,0.14
DARE,02:39:12.800,02:39:11.940,0.63127786,0.1
DARE,03:08:09.000,03:08:09.395,0.6563041,0.36
DARE,03:10:43.800,03:10:44.105,0.5190589,0.13
DARE,03:17:20.900,03:17:20.715,0.49191946,0.5
DARE,03:23:15.300,03:23:16.025,0.6998727,0.18
DARE,03:43:35.300,03:43:35.465,0.64092225,0.26
DARE,03:46:19.200,03:46:18.400,0.6108109,0.14
DARE,03:56:07.300,03:56:07.515,0.80865,0.56
DARE,04:04:45.700,04:04:46.605,0.6474142,0.27
DARE,04:31:48.300,04:31:48.745,0.5333699,0.31
DARE,04:56:43.100,04:56:43.280,0.43529618,0.19
DARE,05:02:14.300,05:02:14.580,0.7063365,0.56
DARE,05:17:19.900,05:17:19.985,0.6446522,0.41
DARE,05:20:15.800,05:20:15.180,0.8078862,0.34
DARE,05:26:55.400,05:26:56.120,0.7583213,0.15
DARE,05:31:48.600,05:31:49.065,0.42724615,0.37
DARE,05:42:05.800,05:42:06.225,0.27902025,0.33
DARE,05:47:48.800,05:47:49.330,0.40342972,0.37
DARE,05:49:52.400,05:49:51.935,0.57100356,0.36
DARE,06:02:11.700,06:02:11.165,0.62015057,0.23
DARE,06:24:20.400,06:24:21.290,0.8153006,0.69
DARE,06:28:17.800,06:28:17.750,0.67629457,0.37
DARE,06:30:28.600,06:30:29.370,0.8201977,0.59
DARE,06:32:05.800,06:32:05.235,0.7643311,0.42
DARE,06:32:05.800,06:32:05.320,0.7643311,0.21
DARE,06:40:19.600,06:40:20.115,0.47026187,0.15
DARE,06:48:50.900,06:48:50.685,0.83974063,0.62
DARE,06:52:26.300,06:52:25.745,0.62946296,0.37
DARE,06:52:26.300,06:52:25.770,0.62946296,0.58
DARE,07:03:21.900,07:03:22.830,0.73092926,0.53
