station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
AGRB,05:13:05.620,05:13:05.500,0.57946026
AGRB,15:26:21.270,15:26:21.200,0.81520915
AKDM,05:13:13.450,05:13:13.100,0.7942582
BAKL,17:58:07.920,17:58:08.100,0.7700807
BAYT,02:57:44.020,02:57:43.700,0.6307812
BAYT,03:34:06.900,03:34:06.400,0.5740342
BLVD,05:29:05.940,05:29:06.100,0.741193
BNGB,03:22:21.460,03:22:21.200,0.66550654
BNGB,03:33:55.030,03:33:55.300,0.5066506
BNGB,07:51:01.630,07:51:01.400,0.8527457
BNGB,14:11:47.780,14:11:47.600,0.62636113
BNGB,14:45:30.830,14:45:30.300,0.5785658
BNGB,17:18:10.900,17:18:10.500,0.35164642
BNGB,21:50:40.120,21:50:39.800,0.75108
CEYT,01:58:49.840,01:58:49.100,0.4652104
CEYT,02:02:20.110,02:02:19.800,0.4653371
CEYT,02:23:48.540,02:23:47.700,0.5318893
CEYT,02:37:30.460,02:37:30.500,0.59491944
CEYT,02:44:09.530,02:44:09.200,0.47013798
CEYT,02:51:14.860,02:51:14.300,0.5780941
CEYT,03:03:42.760,03:03:42.900,0.62034714
CEYT,03:42:06.280,03:42:07.000,0.59120226
CEYT,03:50:02.470,03:50:02.000,0.36899593
CEYT,03:53:14.610,03:53:15.400,0.30838698
CEYT,04:01:47.630,04:01:46.700,0.6639987
CEYT,04:11:29.340,04:11:28.400,0.5324099
CEYT,04:28:26.940,04:28:27.500,0.51531744
CEYT,04:45:24.090,04:45:23.900,0.39289033
CEYT,04:50:42.490,04:50:41.500,0.72145957
CEYT,05:25:54.330,05:25:54.600,0.33856323
CEYT,05:40:36.900,05:40:36.800,0.2869631
CEYT,05:47:49.150,05:47:48.600,0.592338
CEYT,05:57:09.740,05:57:10.500,0.46104643
CEYT,06:04:37.390,06:04:36.900,0.4859071
CEYT,06:08:17.030,06:08:17.500,0.4429597
CEYT,06:11:27.260,06:11:27.900,0.6174425
CEYT,06:15:15.060,06:15:14.500,0.73513246
CEYT,06:31:46.600,06:31:46.900,0.6983392
CEYT,06:35:30.550,06:35:30.800,0.45463258
CEYT,06:38:32.570,06:38:31.700,0.68623245
CEYT,06:41:58.220,06:41:58.500,0.45642155
CEYT,06:44:24.780,06:44:23.800,0.48694968
CEYT,07:00:33.890,07:00:33.500,0.42451102
CEYT,07:08:54.430,07:08:54.200,0.5971985
CEYT,07:10:32.510,07:10:32.900,0.57515585
CEYT,07:12:47.460,07:12:46.700,0.68432736
CEYT,07:23:54.180,07:23:53.900,0.35471624
CEYT,07:24:59.340,07:24:58.500,0.8148672
CEYT,07:26:33.040,07:26:32.800,0.6598129
CEYT,07:43:52.680,07:43:52.300,0.27739212
CEYT,07:44:22.060,07:44:21.400,0.5471732
CEYT,07:51:06.210,07:51:06.400,0.2986093
CEYT,08:02:12.700,08:02:12.700,0.48927042
CEYT,08:11:43.560,08:11:43.900,0.40735567
CEYT,08:23:33.550,08:23:33.900,0.6050737
CEYT,08:36:20.960,08:36:20.900,0.6939169
CEYT,09:03:55.550,09:03:55.700,0.62324995
CEYT,09:34:54.550,09:34:55.200,0.31697127
CEYT,09:34:55.680,09:34:55.200,0.27586323
CEYT,09:58:53.520,09:58:53.800,0.72010076
CEYT,10:09:47.420,10:09:48.300,0.27547655
CEYT,10:09:48.590,10:09:48.300,0.29714274
CEYT,12:02:53.790,12:02:53.500,0.4707265
CEYT,14:15:24.540,14:15:25.000,0.6598185
CEYT,14:28:06.680,14:28:06.600,0.63255024
CEYT,15:27:56.680,15:27:56.600,0.5219381
CEYT,15:54:41.790,15:54:41.300,0.44165555
CEYT,17:07:13.990,17:07:13.800,0.7191493
CEYT,18:04:36.400,18:04:37.100,0.6552583
CEYT,18:32:03.970,18:32:03.000,0.6125401
CEYT,19:11:10.650,19:11:11.400,0.63442993
CEYT,19:50:22.610,19:50:22.300,0.68365
CEYT,21:03:49.600,21:03:50.100,0.61479175
CEYT,21:35:14.940,21:35:14.500,0.6551179
CEYT,22:30:23.380,22:30:23.200,0.4198549
CEYT,23:15:30.510,23:15:29.800,0.49650925
CEYT,23:17:54.120,23:17:53.800,0.6405559
CEYT,23:37:18.860,23:37:18.800,0.415901
CLDR,00:16:18.540,00:16:18.600,0.8613101
CLDR,15:26:12.730,15:26:12.500,0.5680569
DARE,01:27:36.340,01:27:36.600,0.37151587
DARE,01:34:23.000,01:34:22.900,0.8607662
DARE,02:04:01.250,02:04:01.900,0.788845
DARE,02:26:58.480,02:26:59.000,0.75408906
DARE,02:32:09.990,02:32:09.700,0.40267617
DARE,02:34:51.920,02:34:52.700,0.30976284
DARE,02:34:53.180,02:34:52.700,0.3295936
DARE,02:39:11.900,02:39:12.800,0.63127786
DARE,03:08:09.320,03:08:09.000,0.6563041
DARE,03:10:44.380,03:10:43.800,0.5190589
DARE,03:12:15.970,03:12:15.500,0.6257423
DARE,03:17:20.690,03:17:20.900,0.49191946
DARE,03:23:16.090,03:23:15.300,0.6998727
DARE,03:43:35.300,03:43:35.300,0.64092225
DARE,03:54:32.500,03:54:32.500,0.44156444
DARE,03:56:07.520,03:56:07.300,0.80865
DARE,04:04:46.640,04:04:45.700,0.6474142
DARE,04:14:47.480,04:14:48.200,0.6490875
DARE,04:31:48.700,04:31:48.300,0.5333699
DARE,04:56:43.240,04:56:43.100,0.43529618
DARE,05:02:14.570,05:02:14.300,0.7063365
DARE,05:17:19.720,05:17:19.900,0.6446522
DARE,05:20:15.180,05:20:15.800,0.8078862
DARE,05:23:19.350,05:23:18.800,0.4689388
DARE,05:26:56.030,05:26:55.400,0.7583213
DARE,05:31:48.630,05:31:48.600,0.42724615
DARE,05:33:36.010,05:33:36.000,0.71185684
DARE,05:39:48.570,05:39:48.100,0.695402
DARE,05:41:01.800,05:41:02.100,0.57374823
DARE,05:42:05.960,05:42:05.800,0.27902025
DARE,05:47:49.410,05:47:48.800,0.40342972
DARE,05:49:51.960,05:49:52.400,0.57100356
DARE,06:02:11.090,06:02:11.700,0.62015057
DARE,06:11:33.750,06:11:33.900,0.28446966
DARE,06:22:09.050,06:22:08.500,0.5910164
DARE,06:24:21.220,06:24:20.400,0.8153006
DARE,06:28:17.790,06:28:17.800,0.67629457
DARE,06:30:29.360,06:30:28.600,0.8201977
DARE,06:32:05.250,06:32:05.800,0.7643311
DARE,06:40:19.770,06:40:19.600,0.47026187
DARE,06:44:29.590,06:44:29.000,0.62246895
DARE,06:48:50.680,06:48:50.900,0.83974063
DARE,06:49:46.190,06:49:47.000,0.6068303
DARE,06:52:25.600,06:52:26.300,0.62946296
DARE,07:03:22.850,07:03:21.900,0.73092926
DARE,07:04:43.120,07:04:43.400,0.6927452
DARE,07:12:54.930,07:12:55.900,0.36219496
DARE,07:19:54.080,07:19:53.800,0.67618054
DARE,07:21:43.480,07:21:44.100,0.59116054
DARE,07:24:04.810,07:24:04.600,0.74937356
DARE,07:26:29.750,07:26:30.100,0.6584904
DARE,07:27:23.930,07:27:23.900,0.7870501
DARE,07:31:44.770,07:31:44.000,0.6460581
DARE,07:41:38.220,07:41:38.300,0.7535348
DARE,07:44:15.530,07:44:14.700,0.72129333
DARE,07:48:01.930,07:48:01.800,0.6148447
DARE,08:05:07.980,08:05:08.500,0.76768047
DARE,08:07:11.280,08:07:10.500,0.4656915
DARE,08:29:53.520,08:29:53.300,0.7892762
DARE,08:38:53.810,08:38:54.300,0.55608207
DARE,08:45:10.490,08:45:09.900,0.7211232
DARE,08:53:15.070,08:53:15.000,0.57018363
DARE,08:59:01.590,08:59:01.700,0.6959987
DARE,09:06:29.480,09:06:28.700,0.59518397
DARE,09:21:25.870,09:21:26.200,0.4428562
DARE,10:08:02.080,10:08:01.700,0.65673894
DARE,10:12:43.590,10:12:43.500,0.6850658
DARE,10:36:15.300,10:36:16.000,0.75006455
DARE,10:39:16.380,10:39:16.700,0.59207505
DARE,10:51:50.770,10:51:50.500,0.6183518
DARE,10:56:45.160,10:56:44.900,0.41573548
DARE,11:11:59.070,11:11:59.300,0.58287233
DARE,11:31:02.330,11:31:02.500,0.69161785
DARE,11:35:46.280,11:35:46.100,0.7577204
DARE,11:43:44.630,11:43:43.900,0.850543
DARE,11:49:07.690,11:49:07.300,0.6719221
DARE,11:51:37.830,11:51:37.100,0.83870906
DARE,11:58:55.480,11:58:55.400,0.8112122
DARE,12:31:59.480,12:31:58.700,0.7023472
DARE,12:55:06.670,12:55:06.700,0.39005092
DARE,13:03:36.380,13:03:35.500,0.55673885
DARE,13:14:26.550,13:14:27.100,0.72940564
DARE,13:16:56.360,13:16:56.600,0.7802224
DARE,13:33:33.050,13:33:32.800,0.6271873
DARE,13:45:08.490,13:45:07.900,0.6892972
