,file_name,begin_time,phase_time,phase_score,phase_type,station_id
0,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:03:00.840000Z,0.161,P,AGRB
1,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.398,S,AGRB
2,KARS_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:16:20.000000Z,0.871,P,KARS
3,KARS_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:16:31.770000Z,0.471,S,KARS
4,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:51:47.060000Z,0.613,P,SDAG
5,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:27:30.200000Z,0.605,S,SDAG
6,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:28.000000Z,0.757,P,AFSR
7,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.427,S,AFSR
8,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:52:52.000000Z,0.838,P,APMY
9,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:49:31.840000Z,0.371,S,APMY
10,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:40.000000Z,0.711,P,DKL 
11,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:00:14.270000Z,0.365,S,DKL 
12,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:01.860000Z,0.72,P,EDC 
13,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.440000Z,0.797,S,EDC 
14,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:16.000000Z,0.486,P,GEDZ
15,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:34.530000Z,0.612,S,GEDZ
16,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:10.000000Z,0.35,P,GEML
17,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:42:34.900000Z,0.473,S,GEML
18,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:04.000000Z,0.803,P,GULA
19,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:42.360000Z,0.712,S,GULA
20,SHUT_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:13.560000Z,0.898,P,SHUT
21,SHUT_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:15.560000Z,0.796,S,SHUT
22,SNOP_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:52.000000Z,0.762,P,SNOP
23,SNOP_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:45:44.030000Z,0.37,S,SNOP
24,SVSK_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:55:44.000000Z,0.909,P,SVSK
25,SVSK_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:00.030000Z,0.76,S,SVSK
26,TOKT_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:06.000000Z,0.811,P,TOKT
27,TOKT_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:25.750000Z,0.61,S,TOKT
28,VRTB_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:46:58.000000Z,0.893,P,VRTB
29,VRTB_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:26:01.060000Z,0.712,S,VRTB
30,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:18.810000Z,0.485,P,ADVT
31,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:22.090000Z,0.245,S,ADVT
32,ARMT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:12:12.380000Z,0.356,P,ARMT
33,ARMT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:28:24.930000Z,0.115,S,ARMT
34,BLVD_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:26:57.890000Z,0.866,P,BLVD
35,BLVD_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:27:01.300000Z,0.612,S,BLVD
36,LMOS_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:49:10.000000Z,0.922,P,LMOS
37,LMOS_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:42:18.530000Z,0.733,S,LMOS
38,SIMA_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:53.010000Z,0.622,P,SIMA
39,SIMA_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:56.030000Z,0.435,S,SIMA
40,YESY_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:54:17.680000Z,0.828,P,YESY
41,YESY_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:54:22.830000Z,0.438,S,YESY
42,BLVD_20230206_0300,2023-02-06T03:00:00.000000Z,2023-02-06T03:01:18.430000Z,0.662,P,BLVD
43,BLVD_20230206_0300,2023-02-06T03:00:00.000000Z,2023-02-06T03:01:30.170000Z,0.379,S,BLVD
44,CHOM_20230206_0300,2023-02-06T03:00:00.000000Z,2023-02-06T03:46:41.000000Z,0.867,P,CHOM
