,file_name,begin_time,phase_time,phase_score,phase_type,station_id
0,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:59.180000Z,0.123,P,AGRB
1,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:58.840000Z,0.121,P,AGRB
2,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:03:00.840000Z,0.161,P,AGRB
3,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:59.960000Z,0.136,P,AGRB
5,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:58.530000Z,0.164,S,AGRB
6,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:04:30.560000Z,0.365,S,AGRB
7,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:04:30.530000Z,0.25,S,AGRB
8,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.129,S,AGRB
9,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.161,S,AGRB
10,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.398,S,AGRB
11,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.381,S,AGRB
12,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:08:47.070000Z,0.31,S,AGRB
13,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:08:47.100000Z,0.193,S,AGRB
13,KARS_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:16:20.500000Z,0.463,P,KARS
14,KARS_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:16:20.500000Z,0.332,P,KARS
15,KARS_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:16:20.040000Z,0.229,P,KARS
