,file_name,begin_time,phase_time,phase_score,phase_type,station_id
0,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:03:28.000000Z,0.369,P,ADVT
1,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:05:16.290000Z,0.274,P,ADVT
2,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:18.840000Z,0.34,P,ADVT
3,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:18.810000Z,0.281,P,ADVT
4,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:18.810000Z,0.485,P,ADVT
5,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:30.000000Z,0.132,P,ADVT
6,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:53.030000Z,0.257,P,ADVT
7,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:41:10.130000Z,0.254,P,ADVT
8,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:41:10.110000Z,0.165,P,ADVT
10,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:22.030000Z,0.183,S,ADVT
11,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:22.030000Z,0.159,S,ADVT
12,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:19:22.090000Z,0.245,S,ADVT
13,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:58.030000Z,0.106,S,ADVT
14,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:58.070000Z,0.137,S,ADVT
15,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:24:58.090000Z,0.164,S,ADVT
16,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:41:18.120000Z,0.242,S,ADVT
17,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:41:18.120000Z,0.245,S,ADVT
18,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:41:18.120000Z,0.226,S,ADVT
19,ADVT_20230206_0200,2023-02-06T02:00:00.000000Z,2023-02-06T02:45:53.690000Z,0.226,S,ADVT
19,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:11:49.890000Z,0.204,P,ADVT
20,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:11:49.890000Z,0.273,P,ADVT
21,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:21:53.980000Z,0.22,P,ADVT
22,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:02.790000Z,0.205,P,ADVT
23,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:02.880000Z,0.208,P,ADVT
24,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:02.840000Z,0.229,P,ADVT
25,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:02.990000Z,0.453,P,ADVT
26,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:04.000000Z,0.891,P,ADVT
27,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:17.000000Z,0.321,P,ADVT
29,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:12:01.390000Z,0.109,S,ADVT
30,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:12:01.390000Z,0.483,S,ADVT
31,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:12:01.390000Z,0.481,S,ADVT
32,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:12:01.390000Z,0.17,S,ADVT
33,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:20:35.730000Z,0.13,S,ADVT
34,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:20:35.760000Z,0.257,S,ADVT
35,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:25.770000Z,0.368,S,ADVT
36,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:25.770000Z,0.519,S,ADVT
37,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:25.760000Z,0.286,S,ADVT
37,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:32.000000Z,0.533,P,AFSR
38,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:42.000000Z,0.612,P,AFSR
39,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:52.000000Z,0.141,P,AFSR
40,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:44.010000Z,0.139,P,AFSR
41,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:54.000000Z,0.468,P,AFSR
42,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:09.980000Z,0.106,P,AFSR
43,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:18.010000Z,0.262,P,AFSR
44,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:22.000000Z,0.264,P,AFSR
45,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:28.000000Z,0.757,P,AFSR
47,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:37.090000Z,0.169,S,AFSR
48,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.427,S,AFSR
49,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.356,S,AFSR
50,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.185,S,AFSR
50,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:16.980000Z,0.202,P,AFSR
51,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:32.010000Z,0.274,P,AFSR
52,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:12:28.000000Z,0.195,P,AFSR
53,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:32.010000Z,0.19,P,AFSR
54,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:40.000000Z,0.141,P,AFSR
55,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:52:58.660000Z,0.18,P,AFSR
57,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:38.030000Z,0.237,S,AFSR
58,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:38.000000Z,0.424,S,AFSR
59,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:41:20.350000Z,0.191,S,AFSR
59,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:00:57.980000Z,0.138,P,AFSR
60,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:18:34.060000Z,0.121,P,AFSR
61,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:18:40.120000Z,0.391,P,AFSR
62,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:39:54.000000Z,0.158,P,AFSR
63,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:08.010000Z,0.359,P,AFSR
64,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:45:52.010000Z,0.328,P,AFSR
66,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:01:59.150000Z,0.534,S,AFSR
67,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:13:39.710000Z,0.224,S,AFSR
68,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:19:24.900000Z,0.263,S,AFSR
69,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:34.120000Z,0.145,S,AFSR
70,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:46:26.490000Z,0.174,S,AFSR
70,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:59.180000Z,0.123,P,AGRB
71,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:58.840000Z,0.121,P,AGRB
72,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:03:00.840000Z,0.161,P,AGRB
73,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:59.960000Z,0.136,P,AGRB
75,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:02:58.530000Z,0.164,S,AGRB
76,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:04:30.560000Z,0.365,S,AGRB
77,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:04:30.530000Z,0.25,S,AGRB
78,AGRB_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:07:54.830000Z,0.129,S,AGRB
