,file_name,begin_time,phase_time,phase_score,phase_type,station_id
0,TOKT_20230206_2200,2023-02-06 22:00:00,2023-02-06T22:08:07.650000Z,0.502038,S,TOKT
1,TOKT_20230206_2200,2023-02-06 22:00:00,2023-02-06T22:30:48.090000Z,0.7856869,S,TOKT
2,TOKT_20230206_2200,2023-02-06 22:00:00,2023-02-06T22:35:06.800000Z,0.27701762,S,TOKT
3,SERH_20230206_0600,2023-02-06 06:00:00,2023-02-06T06:41:22.420000Z,0.34139812,P,SERH
4,KARS_20230206_0700,2023-02-06 07:00:00,2023-02-06T07:25:12.020000Z,0.5334842,S,KARS
5,KARS_20230206_0700,2023-02-06 07:00:00,2023-02-06T07:47:42.560000Z,0.26153678,S,KARS
6,AGRB_20230206_1900,2023-02-06 19:00:00,2023-02-06T19:16:46.360000Z,0.3706921,P,AGRB
7,AGRB_20230206_1900,2023-02-06 19:00:00,2023-02-06T19:16:59.030000Z,0.7132852,S,AGRB
8,AGRB_20230206_1900,2023-02-06 19:00:00,2023-02-06T19:52:11.480000Z,0.42300445,S,AGRB
9,BAKL_20230206_1800,2023-02-06 18:00:00,2023-02-06T18:09:34.830000Z,0.6781318,S,BAKL
10,BAKL_20230206_1800,2023-02-06 18:00:00,2023-02-06T18:58:10.400000Z,0.47013903,P,BAKL
11,BAKL_20230206_1800,2023-02-06 18:00:00,2023-02-06T18:58:18.820000Z,0.79732114,S,BAKL
12,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:00:30.630000Z,0.7195135,S,URFA
13,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:00:50.860000Z,0.44118935,S,URFA
14,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:01:29.860000Z,0.35676262,S,URFA
15,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:02:13.060000Z,0.6285612,S,URFA
16,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:02:17.670000Z,0.3729969,S,URFA
17,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:02:53.130000Z,0.5518309,S,URFA
18,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:04:05.510000Z,0.39646393,S,URFA
19,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:04:43.530000Z,0.8212831,S,URFA
20,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:05:07.010000Z,0.40002185,P,URFA
21,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:05:23.430000Z,0.6011313,S,URFA
22,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:06:21.570000Z,0.770969,S,URFA
23,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:07:47.420000Z,0.50619954,S,URFA
24,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:08:35.970000Z,0.503847,S,URFA
25,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:09:09.460000Z,0.32874164,S,URFA
26,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:09:47.890000Z,0.27155885,P,URFA
27,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:10:10.140000Z,0.30693793,S,URFA
28,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:10:29.690000Z,0.91614294,P,URFA
29,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:10:41.390000Z,0.45357388,S,URFA
30,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:11:38.140000Z,0.30173072,P,URFA
31,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:11:51.270000Z,0.41032803,S,URFA
32,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:12:14.970000Z,0.42042455,P,URFA
33,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:12:32.110000Z,0.7643621,S,URFA
34,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:13:50.270000Z,0.44999546,P,URFA
35,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:14:02.130000Z,0.53236955,S,URFA
36,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:14:23.350000Z,0.30578974,P,URFA
37,URFA_20230206_1700,2023-02-06 17:00:00,2023-02-06T17:14:38.620000Z,0.4450162,S,URFA
