No,Code,Latitude,Longitude,Elivation Mt.,Location,OpenDate,Notes - İstasyon Kurulumunu Yapanlar,Sensor and Digitizer,Netwok Code,SensorType,Registry,Status,CloseDate,fType
1,BOZU,39.9107,30.0325,850,Bozuyuk,20120501,AnadoluUniv.,T6761/C054,AU,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
2,CIFT,39.3612,31.0626,895,Cifteler-ESKISEHIR,20130313,Anadolu Univ,T37501/A4284,AU,[B] 3TD/CMG-DM24,YES,OPEN,OnSite,HZ
3,KUTH,39.3955,30.0213,1300,Kutahya,20120501,AnadoluUniv.,T6760/C050,AU,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
4,MIHA,39.868,31.4832,850,Mihaliccik,20120501,AnadoluUniv.,T6763/C053,AU,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
5,SIVR,39.4398,31.5395,1061,Sivrihisar,20120501,AnadoluUniv.,T6753/C049,AU,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
6,SRCK,40.0417,30.6259,331,Saricakayalar-ESKISEHIR,20130313,Anadolu Univ.,T37535/A4285,AU,[B] 3TD/CMG-DM24,YES,OPEN,OnSite,HZ
7,JMB,42.4667,26.5833,216,BS_JMB,20040401,Bulgaristan,xxx/yyy,BS,[B] CMG-40T/CMG-DM24,YES,OPEN,OnSite,HZ
8,KDZ,41.6303,25.3397,340,BS_KDZ,20040101,Bulgaristan,xxx/yyy,BS,[B] 3ESPC/REFTEK-130,YES,OPEN,OnSite,HZ
9,PLD,42.1049,24.7031,176,BS_PLD,20040401,Bulgaristan,xxx/yyy,BS,[B] CMG-40T/CMG-DM24,YES,OPEN,OnSite,HZ
10,PSN,43.6375,28.1359,180,BS_PSN,20060101,Bulgaristan,xxx/yyy,BS,[B] KS2000/REFTEK-130,YES,OPEN,OnSite,RAD
11,OSC1,33.5,31.2768,0,OBS AKDENIZ,19900101,Güney KIBRIS,T35821/A1359,CQ,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
12,OSC2,33.0749,32.2669,0,OBS AKDENIZ,19900101,Güney KIBRIS,T35821/A1359,CQ,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
13,APE,37.0727,25.523,608,YUNANISTAN,19981023,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
14,CSS,34.9622,33.3307,396,Güney Kibris,19990721,GFZ,xxx/yyy,GE,[B] STS-2/Q380,YES,OPEN,OnSite,RAD
15,EIL,29.6699,34.9512,210,Israil,20000101,GFZ,xxx/yyy,GE,[B] STS-2/Q330,YES,OPEN,OnSite,RAD
16,GVD,34.8392,24.0873,180,GE_GVD,19991101,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
17,IMMV,35.4607,23.9812,230,Girit,20100716,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
18,ISP,37.8446,30.5089,1155,Isparta,19980101,GFZ,01000010FA80E0FF/yyy,GE,[B] STS-1/Q330,YES,OPEN,OnSite,RAD
19,KARN,35.4018,23.9174,420,GE_KARN,20000101,GFZ,xxx/yyy,GE,[B] STS-2/Q4120,YES,OPEN,OnSite,RAD
20,KARP,35.5471,27.161,524,GE_KARP,20080405,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
21,KTHA,36.2566,23.0621,360,GE_KTHA,20130618,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
22,SANT,36.371,25.459,540,GE_SANT,19970620,GFZ,xxx/yyy,GE,[B] STS-2/PS6-SC,YES,OPEN,OnSite,RAD
