eid,src_lat,src_lon,stat_lat,stat_lon,depth,mag,station_code,start_time,end_time,Sampling Frequency,Number of Time Steps,Delta t,Min Frequency,Max Frequency,Number of Frequency Steps,rup
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,CEYT,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,SARI,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,SARI,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,DARE,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,DARE,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,CMRD,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,URFA,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,BNN,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,GULA,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,SLFK,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,TUNC,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,KOZK,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,SILI,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,SVSK,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,DYBB,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,KARG,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
smi:local/event/20230206012651,37.265,36.8442,0,0,8.9,5.6,AKK1,2023-02-06 01:27:09,2023-02-06 01:27:48.300,0,0,0,0,0,0,0
